105/10/14,0,0,---,---,---,---,---,0
105/10/17,0,0,---,---,---,---,---,0
105/10/18,320000,249600,0.78,0.78,0.78,0.78,-0.04,2
105/10/19,5000,4650,0.93,0.93,0.93,0.93,+0.15,1
105/10/20,1173000,1276700,0.99,1.18,0.99,1.12,+0.19,34
105/10/21,1583000,1831860,1.18,1.27,1.11,1.27,+0.15,48
105/10/24,1306000,1614410,1.26,1.27,1.11,1.12,-0.15,42
105/10/25,357000,387780,1.14,1.14,1.07,1.07,-0.05,9
105/10/26,393000,421010,1.08,1.10,1.06,1.06,-0.01,12
105/10/27,302000,314270,1.05,1.06,1.01,1.01,-0.05,12
105/10/28,145000,149330,1.03,1.04,1.01,1.01,0.00,7
105/10/31,315000,325500,0.98,1.07,0.98,1.04,+0.03,15
105/11/01,327000,338350,1.01,1.08,1.01,1.05,+0.01,11
105/11/02,405000,390700,1.02,1.02,0.92,0.92,-0.13,9
105/11/03,50000,44800,0.89,0.90,0.89,0.90,-0.02,2
105/11/04,30000,27000,0.90,0.90,0.90,0.90,0.00,1
105/11/07,752000,796210,0.99,1.11,0.99,1.10,+0.20,34
105/11/08,801000,823390,1.07,1.07,0.99,0.99,-0.11,23
105/11/09,251000,219710,0.96,0.96,0.81,0.81,-0.18,12
105/11/10,233000,206670,0.85,0.91,0.85,0.89,+0.08,10
105/11/11,420000,406060,0.97,1.00,0.92,0.96,+0.07,17
105/11/14,551000,518670,0.96,0.96,0.91,0.91,-0.05,18
105/11/15,166000,153300,0.93,0.95,0.92,0.92,+0.01,6
105/11/16,1192000,1254400,0.95,1.13,0.95,1.08,+0.16,46
105/11/17,835000,888980,1.07,1.10,1.04,1.10,+0.02,46
105/11/18,665000,750970,1.20,1.20,1.09,1.11,+0.01,26
105/11/21,921000,940790,1.06,1.06,1.00,1.02,-0.09,21
105/11/22,750000,806880,1.05,1.11,1.05,1.08,+0.06,30
105/11/23,676000,703300,1.07,1.07,1.01,1.06,-0.02,26
105/11/24,1036000,1141050,1.11,1.17,1.02,1.02,-0.04,50
105/11/25,698000,703520,1.03,1.03,0.99,1.01,-0.01,24
105/11/28,438000,454260,1.06,1.09,1.00,1.00,-0.01,16
105/11/29,555000,576230,1.01,1.06,1.00,1.03,+0.03,19
105/11/30,354000,381640,1.08,1.09,1.04,1.09,+0.06,10
105/12/01,888000,994360,1.10,1.16,1.06,1.06,-0.03,32
105/12/02,1112000,1330870,1.09,1.31,1.09,1.31,+0.25,42
105/12/05,1919000,2529060,1.29,1.42,1.24,1.37,+0.06,54
105/12/06,1054000,1397540,1.32,1.39,1.30,1.39,+0.02,25
105/12/07,197000,265430,1.35,1.39,1.33,1.33,-0.06,5
105/12/08,1181000,1418260,1.31,1.32,1.12,1.12,-0.21,26
105/12/09,711000,844860,1.13,1.21,1.13,1.16,+0.04,20
105/12/12,1092000,1181680,1.10,1.13,1.01,1.01,-0.15,33
105/12/13,603000,620770,0.80,1.06,0.80,0.96,-0.05,16
105/12/14,324000,318470,1.01,1.01,0.97,0.97,+0.01,10
105/12/15,291000,281360,1.00,1.00,0.96,0.96,-0.01,8
105/12/16,480000,458270,0.96,0.97,0.94,0.94,-0.02,10
105/12/19,721000,690030,0.96,0.96,0.93,0.93,-0.01,13
105/12/20,125000,119800,0.96,0.96,0.94,0.94,+0.01,4
105/12/21,127000,117830,0.95,0.95,0.78,0.78,-0.16,8
105/12/22,172000,131880,0.54,0.78,0.54,0.77,-0.01,11
105/12/23,175000,135950,0.79,0.79,0.76,0.76,-0.01,6
105/12/26,210000,145900,0.69,0.70,0.69,0.69,-0.07,5
105/12/27,200000,132000,0.66,0.66,0.66,0.66,-0.03,1
105/12/28,427000,299830,0.69,0.74,0.69,0.73,+0.07,16
105/12/29,21000,15230,0.73,0.73,0.72,0.72,-0.01,2
105/12/30,71000,50220,0.72,0.72,0.69,0.69,-0.03,3
106/01/03,25000,18360,0.72,0.74,0.72,0.73,+0.04,5
106/01/04,15000,11330,0.75,0.76,0.75,0.76,+0.03,3
106/01/05,661000,542280,0.78,0.84,0.78,0.83,+0.07,12
