105/08/24,314000,569640,1.87,1.87,1.70,1.80,-0.04,33
105/08/25,104000,183610,1.77,1.79,1.74,1.77,-0.03,21
105/08/26,33000,59400,1.81,1.81,1.77,1.77,0.00,4
105/08/29,34000,58370,1.72,1.72,1.71,1.71,-0.06,3
105/08/30,290000,531010,1.76,1.92,1.76,1.91,+0.20,30
105/08/31,242000,458460,1.92,1.92,1.85,1.90,-0.01,12
105/09/01,7000,12600,1.81,1.81,1.76,1.76,-0.14,3
105/09/02,11000,18800,1.72,1.73,1.65,1.71,-0.05,8
105/09/05,17000,30730,1.79,1.81,1.79,1.79,+0.08,3
105/09/06,21000,39240,1.82,1.89,1.82,1.85,+0.06,4
105/09/07,21000,39180,1.88,1.88,1.85,1.85,0.00,3
105/09/08,0,0,---,---,---,---,---,0
105/09/09,20000,37600,1.88,1.88,1.88,1.88,+0.02,1
105/09/10,45000,82700,1.84,1.85,1.82,1.84,-0.04,8
105/09/12,25000,45250,1.85,1.85,1.80,1.80,-0.04,2
105/09/13,77000,135750,1.78,1.80,1.68,1.72,-0.08,11
105/09/14,5000,8800,1.76,1.76,1.76,1.76,+0.04,1
105/09/19,57000,98540,1.71,1.73,1.71,1.73,-0.03,6
105/09/20,31000,53510,1.71,1.76,1.71,1.76,+0.03,2
105/09/21,74000,132490,1.71,1.86,1.71,1.86,+0.10,9
105/09/22,49000,95970,1.98,1.98,1.87,1.87,+0.01,4
105/09/23,70000,126500,1.81,1.81,1.79,1.79,-0.08,3
105/09/26,40000,66600,1.69,1.69,1.65,1.65,-0.14,4
105/09/29,55000,99000,1.79,1.83,1.79,1.80,+0.15,3
105/09/30,106000,201140,1.88,1.94,1.88,1.88,+0.08,9
105/10/03,69000,126290,1.91,1.91,1.81,1.81,-0.07,4
105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,0,0,---,---,---,---,---,0
105/10/13,100000,151000,1.51,1.51,1.51,1.51,-0.01,1
105/10/14,111000,151610,1.37,1.37,1.31,1.31,-0.20,3
105/10/17,1000,1300,1.30,1.30,1.30,1.30,-0.01,1
105/10/18,0,0,---,---,---,---,---,0
105/10/19,10000,14400,1.44,1.44,1.44,1.44,+0.11,1
105/10/20,4000,5760,1.44,1.44,1.44,1.44,0.00,1
105/10/21,0,0,---,---,---,---,---,0
105/10/24,10000,13900,1.39,1.39,1.39,1.39,0.00,1
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
105/10/27,0,0,---,---,---,---,---,0
105/10/28,12000,14400,1.20,1.20,1.20,1.20,-0.17,1
105/10/31,1000,1200,1.20,1.20,1.20,1.20,0.00,1
105/11/01,0,0,---,---,---,---,---,0
105/11/02,0,0,---,---,---,---,---,0
105/11/03,0,0,---,---,---,---,---,0
