105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,210000,199060,0.93,0.96,0.93,0.95,+0.02,5
105/10/11,395000,357370,0.91,0.91,0.89,0.90,-0.05,6
105/10/12,310000,281700,0.92,0.92,0.87,0.87,-0.03,4
105/10/13,50000,43300,0.87,0.87,0.86,0.86,-0.01,5
105/10/14,66000,58240,0.88,0.89,0.88,0.89,+0.03,3
105/10/17,0,0,---,---,---,---,---,0
105/10/18,220000,190550,0.87,0.90,0.86,0.87,-0.02,11
105/10/19,502000,414830,0.85,0.85,0.81,0.84,-0.03,9
105/10/20,245000,196980,0.80,0.84,0.80,0.83,-0.01,7
105/10/21,198000,163880,0.83,0.85,0.82,0.82,-0.01,4
105/10/24,184000,151380,0.82,0.84,0.81,0.81,-0.01,6
105/10/25,10000,7900,0.79,0.79,0.79,0.79,-0.02,1
105/10/26,131000,93660,0.69,0.73,0.69,0.72,-0.07,6
105/10/27,109000,77080,0.72,0.72,0.69,0.69,-0.03,5
105/10/28,2428000,1837080,0.72,0.76,0.72,0.76,+0.07,29
105/10/31,3567000,3035200,0.84,0.92,0.82,0.90,+0.14,62
105/11/01,961000,866370,0.91,0.91,0.88,0.90,0.00,22
105/11/02,624000,615620,0.92,1.09,0.92,1.08,+0.18,26
105/11/03,527000,582320,1.09,1.22,1.06,1.08,0.00,25
105/11/04,111000,124220,1.14,1.14,1.10,1.10,+0.02,8
