105/11/11,0,0,---,---,---,---,---,0
105/11/14,10000,14700,1.47,1.47,1.47,1.47,-0.08,1
105/11/15,84000,107840,1.25,1.38,1.25,1.27,-0.20,11
105/11/16,121000,154940,1.28,1.29,1.26,1.26,-0.01,8
105/11/17,43000,53780,1.23,1.26,1.23,1.25,-0.01,5
105/11/18,56000,68360,1.23,1.25,1.20,1.25,0.00,6
105/11/21,2000,2400,1.20,1.20,1.20,1.20,-0.05,2
105/11/22,84000,105590,1.26,1.29,1.24,1.25,+0.05,12
105/11/23,284000,373110,1.27,1.36,1.24,1.33,+0.08,36
105/11/24,264000,359680,1.38,1.42,1.33,1.33,0.00,36
105/11/25,198000,258510,1.30,1.33,1.29,1.29,-0.04,19
105/11/28,410000,533700,1.28,1.33,1.28,1.32,+0.03,23
105/11/29,231000,302680,1.32,1.32,1.29,1.29,-0.03,13
105/11/30,362000,517010,1.34,1.51,1.34,1.40,+0.11,37
105/12/01,418000,586590,1.41,1.43,1.37,1.41,+0.01,21
105/12/02,62000,82680,1.32,1.34,1.32,1.34,-0.07,4
105/12/05,91000,120570,1.30,1.38,1.30,1.37,+0.03,7
105/12/06,90000,123640,1.36,1.40,1.35,1.40,+0.03,11
105/12/07,186000,257050,1.38,1.40,1.37,1.38,-0.02,18
105/12/08,115000,158330,1.38,1.39,1.36,1.39,+0.01,11
105/12/09,161000,228880,1.38,1.50,1.38,1.44,+0.05,16
105/12/12,157000,219060,1.46,1.46,1.34,1.34,-0.10,15
105/12/13,78000,101700,1.30,1.33,1.30,1.33,-0.01,3
105/12/14,50000,65200,1.32,1.32,1.30,1.30,-0.03,5
105/12/15,48000,62560,1.27,1.31,1.27,1.31,+0.01,3
105/12/16,120000,154700,1.29,1.29,1.28,1.28,-0.03,12
105/12/19,38000,47220,1.24,1.25,1.24,1.24,-0.04,3
105/12/20,113000,143010,1.26,1.27,1.26,1.27,+0.03,9
105/12/21,400000,526390,1.26,1.34,1.26,1.33,+0.06,25
105/12/22,522000,708670,1.36,1.37,1.33,1.33,0.00,27
105/12/23,120000,153600,1.29,1.29,1.25,1.25,-0.08,9
105/12/26,36000,43800,1.22,1.23,1.19,1.19,-0.06,4
105/12/27,56000,65920,1.18,1.18,1.17,1.18,-0.01,3
105/12/28,20000,23600,1.18,1.18,1.18,1.18,0.00,2
105/12/29,190000,221600,1.18,1.20,1.16,1.19,+0.01,5
105/12/30,30000,35500,1.17,1.19,1.17,1.19,0.00,2
106/01/03,19000,22230,1.17,1.17,1.17,1.17,-0.02,2
106/01/04,59000,69320,1.18,1.18,1.17,1.17,0.00,5
106/01/05,101000,122620,1.21,1.22,1.21,1.21,+0.04,11
106/01/06,12000,14540,1.21,1.22,1.21,1.22,+0.01,2
106/01/09,60000,71000,1.22,1.22,1.15,1.15,-0.07,6
106/01/10,50000,59300,1.16,1.21,1.16,1.20,+0.05,5
106/01/11,42000,50080,1.19,1.22,1.18,1.18,-0.02,6
106/01/12,13000,15440,1.18,1.19,1.18,1.19,+0.01,2
106/01/13,20000,23200,1.16,1.16,1.16,1.16,-0.03,2
106/01/16,52000,60350,1.17,1.17,1.16,1.16,0.00,2
106/01/17,2000,2320,1.16,1.16,1.16,1.16,0.00,1
106/01/18,14000,15980,1.15,1.15,1.14,1.14,-0.02,3
106/01/19,62000,74700,1.18,1.23,1.18,1.22,+0.08,10
