105/08/24,30000,12600,0.42,0.42,0.42,0.42,+0.02,1
105/08/25,135000,54000,0.40,0.40,0.40,0.40,-0.02,1
105/08/26,230000,105800,0.44,0.52,0.44,0.52,+0.12,8
105/08/29,5000,2750,0.55,0.55,0.55,0.55,+0.03,1
105/08/30,733000,442660,0.61,0.64,0.59,0.64,+0.09,9
105/08/31,1140000,684130,0.62,0.63,0.58,0.59,-0.05,14
105/09/01,317000,189560,0.60,0.61,0.58,0.60,+0.01,8
105/09/02,60000,31800,0.58,0.58,0.50,0.50,-0.10,4
105/09/05,120000,61700,0.51,0.52,0.51,0.51,+0.01,4
105/09/06,230000,127900,0.53,0.57,0.53,0.55,+0.04,5
105/09/07,40000,20200,0.51,0.51,0.50,0.50,-0.05,3
105/09/08,33000,16590,0.50,0.53,0.50,0.53,+0.03,2
105/09/09,5000,2600,0.52,0.52,0.52,0.52,-0.01,1
105/09/10,10000,4300,0.43,0.43,0.43,0.43,-0.09,1
105/09/12,50000,19900,0.41,0.41,0.38,0.38,-0.05,5
105/09/13,894000,364100,0.39,0.42,0.39,0.39,+0.01,13
105/09/14,754000,273880,0.38,0.38,0.33,0.34,-0.05,8
105/09/19,30000,10500,0.35,0.35,0.35,0.35,+0.01,2
105/09/20,150000,57000,0.38,0.38,0.38,0.38,+0.03,2
105/09/21,26000,9550,0.35,0.37,0.35,0.37,-0.01,3
105/09/22,0,0,---,---,---,---,---,0
105/09/23,50000,17000,0.34,0.34,0.34,0.34,-0.01,1
105/09/26,0,0,---,---,---,---,---,0
105/09/29,830000,260300,0.34,0.34,0.31,0.31,-0.01,4
105/09/30,200000,62000,0.31,0.31,0.31,0.31,0.00,2
105/10/03,0,0,---,---,---,---,---,0
105/10/04,0,0,---,---,---,---,---,0
105/10/05,227000,56270,0.31,0.31,0.21,0.21,-0.10,13
105/10/06,25000,4750,0.19,0.19,0.19,0.19,-0.02,1
105/10/07,205000,31750,0.16,0.16,0.15,0.15,-0.04,3
105/10/11,21000,2510,0.12,0.12,0.11,0.11,-0.04,2
105/10/12,300000,39000,0.13,0.13,0.13,0.13,+0.02,1
105/10/13,50000,6000,0.12,0.12,0.12,0.12,-0.01,1
105/10/14,52000,5720,0.11,0.11,0.11,0.11,-0.01,2
105/10/17,494000,53840,0.11,0.11,0.10,0.10,-0.01,3
105/10/18,203000,16250,0.08,0.09,0.08,0.08,-0.02,6
105/10/19,204000,16320,0.08,0.08,0.08,0.08,0.00,2
105/10/20,10000,900,0.09,0.09,0.09,0.09,+0.01,1
105/10/21,400000,36000,0.09,0.09,0.09,0.09,0.00,1
105/10/24,15000,1350,0.09,0.09,0.09,0.09,0.00,2
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
105/10/27,21000,1890,0.09,0.09,0.09,0.09,0.00,3
105/10/28,20000,1600,0.08,0.08,0.08,0.08,-0.01,1
105/10/31,0,0,---,---,---,---,---,0
105/11/01,0,0,---,---,---,---,---,0
105/11/02,0,0,---,---,---,---,---,0
105/11/03,300000,18000,0.06,0.06,0.06,0.06,-0.02,1
105/11/04,0,0,---,---,---,---,---,0
105/11/07,0,0,---,---,---,---,---,0
105/11/08,0,0,---,---,---,---,---,0
105/11/09,50000,1500,0.03,0.03,0.03,0.03,-0.03,5
105/11/10,0,0,---,---,---,---,---,0
105/11/11,30000,2400,0.08,0.08,0.08,0.08,+0.04,1
105/11/14,92000,7160,0.07,0.08,0.07,0.08,0.00,9
105/11/15,8000,640,0.08,0.08,0.08,0.08,0.00,1
105/11/16,200000,14000,0.07,0.07,0.07,0.07,-0.01,1
105/11/17,0,0,---,---,---,---,---,0
105/11/18,0,0,---,---,---,---,---,0
105/11/21,50000,4200,0.08,0.09,0.08,0.08,+0.01,5
105/11/22,0,0,---,---,---,---,---,0
105/11/23,70000,3500,0.05,0.05,0.05,0.05,-0.02,1
105/11/24,0,0,---,---,---,---,---,0
105/11/25,40000,1600,0.04,0.04,0.04,0.04,-0.01,2
105/11/28,0,0,---,---,---,---,---,0
