105/08/24,50000,66900,1.34,1.34,1.33,1.33,+0.04,2
105/08/25,40000,52400,1.31,1.31,1.31,1.31,-0.02,2
105/08/26,157000,206500,1.30,1.32,1.29,1.32,+0.01,3
105/08/29,147000,187130,1.27,1.29,1.27,1.29,-0.03,2
105/08/30,0,0,---,---,---,---,---,0
105/08/31,0,0,---,---,---,---,---,0
105/09/01,355000,441070,1.24,1.25,1.24,1.25,0.00,2
105/09/02,458000,575860,1.24,1.33,1.23,1.33,+0.08,5
105/09/05,43000,57690,1.33,1.36,1.33,1.36,+0.03,4
105/09/06,10000,12600,1.26,1.26,1.26,1.26,-0.10,1
105/09/07,0,0,---,---,---,---,---,0
105/09/08,10000,12100,1.21,1.21,1.21,1.21,-0.05,1
105/09/09,0,0,---,---,---,---,---,0
105/09/10,0,0,---,---,---,---,---,0
105/09/12,0,0,---,---,---,---,---,0
105/09/13,119000,136850,1.15,1.15,1.15,1.15,+0.01,1
105/09/14,173000,194950,1.13,1.13,1.12,1.12,-0.03,2
105/09/19,54000,58320,1.08,1.08,1.08,1.08,-0.04,1
105/09/20,0,0,---,---,---,---,---,0
105/09/21,389000,434340,1.10,1.12,1.10,1.12,+0.03,2
105/09/22,389000,429110,1.07,1.11,1.07,1.11,-0.01,2
105/09/23,0,0,---,---,---,---,---,0
105/09/26,126000,138600,1.10,1.10,1.10,1.10,-0.01,1
105/09/29,126000,152460,1.21,1.21,1.21,1.21,+0.11,1
105/09/30,0,0,---,---,---,---,---,0
105/10/03,76000,91200,1.20,1.20,1.20,1.20,0.00,1
105/10/04,76000,87400,1.15,1.15,1.15,1.15,-0.05,1
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
