105/10/11,0,0,---,---,---,---,---,0
105/10/12,242000,412500,1.67,1.73,1.67,1.73,+0.07,4
105/10/13,212000,359230,1.69,1.70,1.69,1.70,-0.03,2
105/10/14,35000,56920,1.62,1.67,1.62,1.66,-0.04,3
105/10/17,121000,203240,1.66,1.68,1.66,1.68,+0.02,3
105/10/18,795000,1349930,1.69,1.72,1.68,1.72,+0.04,6
105/10/19,1241000,1997060,1.63,1.63,1.59,1.59,-0.13,6
105/10/20,725000,1165860,1.59,1.62,1.59,1.60,+0.01,7
105/10/21,209000,342070,1.64,1.66,1.63,1.66,+0.06,6
105/10/24,573000,986740,1.66,1.77,1.66,1.77,+0.11,14
105/10/25,220000,375520,1.71,1.71,1.67,1.67,-0.10,3
105/10/26,65000,111860,1.73,1.73,1.72,1.73,+0.06,4
105/10/27,67000,113760,1.70,1.70,1.68,1.68,-0.05,4
105/10/28,309000,520000,1.69,1.70,1.68,1.68,0.00,3
105/10/31,80000,136870,1.74,1.74,1.61,1.63,-0.05,3
105/11/01,20000,31400,1.57,1.57,1.57,1.57,-0.06,1
105/11/02,20000,32900,1.62,1.67,1.62,1.67,+0.10,2
105/11/03,421000,719210,1.67,1.73,1.67,1.73,+0.06,5
105/11/04,1133000,1966750,1.75,1.76,1.67,1.67,-0.06,13
105/11/07,932000,1555030,1.65,1.74,1.62,1.74,+0.07,12
105/11/08,1035000,1656710,1.63,1.63,1.57,1.62,-0.12,12
105/11/09,431000,711000,1.60,1.65,1.60,1.65,+0.03,4
105/11/10,10000,15400,1.54,1.54,1.54,1.54,-0.11,1
105/11/11,49000,76310,1.56,1.57,1.55,1.57,+0.03,3
105/11/14,397000,638440,1.61,1.62,1.60,1.61,+0.04,8
