105/12/23,0,0,--,--,--,--,,0
105/12/26,9000,11220,1.27,1.27,1.21,1.21,X,4
105/12/27,14000,16820,1.24,1.24,1.18,1.20,-0.01,7
105/12/28,115000,141010,1.21,1.23,1.19,1.23,0.03,10
105/12/29,100000,121740,1.22,1.22,1.20,1.20,-0.03,3
105/12/30,110000,126600,1.16,1.16,1.15,1.15,-0.05,2
106/01/03,110000,119800,1.08,1.09,1.08,1.09,-0.06,2
106/01/04,9000,9720,1.08,1.08,1.08,1.08,-0.01,1
106/01/05,9000,9450,1.05,1.05,1.05,1.05,-0.03,1
106/01/06,255000,252500,0.97,1.02,0.97,1.02,-0.03,5
106/01/09,165000,164500,1.01,1.01,0.94,0.94,-0.08,5
106/01/10,20000,17900,0.91,0.91,0.88,0.88,-0.06,2
106/01/11,154000,129850,0.90,0.90,0.77,0.77,-0.11,7
106/01/12,223000,167340,0.73,0.77,0.72,0.77,,4
106/01/13,250000,182200,0.75,0.77,0.70,0.71,-0.06,6
106/01/16,50000,37400,0.74,0.75,0.74,0.75,0.04,4
106/01/17,30000,22200,0.74,0.74,0.74,0.74,-0.01,2
