105/12/02,0,0,---,---,---,---,---,0
105/12/05,20000,15800,0.79,0.79,0.79,0.79,-0.02,2
105/12/06,1329000,1145050,0.83,0.89,0.83,0.88,+0.09,17
105/12/07,459000,413850,0.91,0.93,0.87,0.89,+0.01,14
105/12/08,1450000,1325600,0.93,0.93,0.90,0.91,+0.02,13
105/12/09,292000,267280,0.92,0.93,0.89,0.89,-0.02,11
105/12/12,130000,117100,0.91,0.91,0.89,0.89,0.00,7
105/12/13,288000,253480,0.89,0.92,0.87,0.92,+0.03,9
105/12/14,929000,870470,0.89,0.97,0.89,0.95,+0.03,34
105/12/15,478000,457640,0.93,0.98,0.91,0.92,-0.03,22
105/12/16,330000,293700,0.91,0.91,0.87,0.87,-0.05,19
105/12/19,130000,109900,0.86,0.87,0.80,0.82,-0.05,9
105/12/20,15000,12100,0.80,0.82,0.80,0.82,0.00,2
105/12/21,1000,830,0.83,0.83,0.83,0.83,+0.01,1
