106/02/10,0,0,--,--,--,--,,0
106/02/13,0,0,--,--,--,--,,0
106/02/14,10000,9100,0.91,0.91,0.91,0.91,X,1
106/02/15,30000,26400,0.90,0.90,0.87,0.87,-0.04,2
106/02/16,310000,258300,0.77,0.84,0.77,0.83,-0.04,5
106/02/17,220000,184800,0.84,0.84,0.84,0.84,0.01,1
106/02/18,5085000,4179230,0.83,0.83,0.81,0.82,-0.02,16
106/02/20,560000,468100,0.84,0.85,0.82,0.85,0.03,8
106/02/21,840000,699000,0.82,0.85,0.82,0.83,-0.02,7
106/02/22,2406000,1898330,0.78,0.81,0.77,0.80,-0.03,20
106/02/23,2191000,1709520,0.79,0.81,0.77,0.81,0.01,19
106/02/24,1249000,1009160,0.82,0.83,0.80,0.81,,11
106/03/01,2805000,2391450,0.82,0.88,0.82,0.88,0.07,19
106/03/02,2444000,2113060,0.81,0.90,0.79,0.88,,30
106/03/03,3950000,3556900,0.89,0.92,0.88,0.92,0.04,30
106/03/06,1774000,1574210,0.90,0.90,0.88,0.88,-0.04,18
106/03/07,543000,451220,0.86,0.86,0.83,0.83,-0.05,14
106/03/08,1265000,1033420,0.82,0.83,0.78,0.79,-0.04,15
106/03/09,4621000,3968930,0.82,0.89,0.82,0.87,0.08,27
106/03/10,1737000,1611140,0.92,0.97,0.90,0.91,0.04,25
106/03/13,67000,57350,0.86,0.87,0.84,0.85,-0.06,7
106/03/14,265000,208250,0.80,0.80,0.77,0.78,-0.07,11
106/03/15,46000,36290,0.79,0.79,0.78,0.79,0.01,6
106/03/16,2612000,1800840,0.73,0.73,0.68,0.70,-0.09,32
106/03/17,158000,103360,0.66,0.67,0.65,0.66,-0.04,9
106/03/20,105000,67210,0.65,0.65,0.62,0.62,-0.04,8
106/03/21,2166000,1243130,0.59,0.59,0.57,0.58,-0.04,14
106/03/22,769000,479130,0.64,0.65,0.62,0.62,0.04,13
