105/08/24,703000,21200,0.03,0.05,0.03,0.04,-0.01,9
105/08/25,100000,3000,0.03,0.03,0.03,0.03,-0.01,2
105/08/26,10000,300,0.03,0.03,0.03,0.03,0.00,1
105/08/29,420000,5200,0.01,0.02,0.01,0.01,-0.02,7
105/08/30,122000,1220,0.01,0.01,0.01,0.01,0.00,4
105/08/31,0,0,---,---,---,---,---,0
105/09/01,0,0,---,---,---,---,---,0
105/09/02,298000,2980,0.01,0.01,0.01,0.01,0.00,2
105/09/05,0,0,---,---,---,---,---,0
105/09/06,3000,30,0.01,0.01,0.01,0.01,0.00,3
105/09/07,8000,80,0.01,0.01,0.01,0.01,0.00,8
105/09/08,3000,30,0.01,0.01,0.01,0.01,0.00,3
105/09/09,1000,10,0.01,0.01,0.01,0.01,0.00,1
105/09/10,2000,20,0.01,0.01,0.01,0.01,0.00,2
105/09/12,1000,10,0.01,0.01,0.01,0.01,0.00,1
105/09/13,4000,40,0.01,0.01,0.01,0.01,0.00,4
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
