105/10/21,68000,59510,0.91,0.91,0.83,0.87,0.12,11
105/10/24,57000,48740,0.88,0.88,0.83,0.84,-0.03,10
105/10/25,330000,311150,0.87,0.99,0.87,0.97,0.13,35
105/10/26,353000,337480,0.93,0.97,0.90,0.97,,20
105/10/27,311000,294050,0.98,1.03,0.90,0.91,-0.06,17
105/10/28,113000,99280,0.89,0.89,0.86,0.86,-0.05,10
105/10/31,42000,34130,0.77,0.90,0.77,0.90,0.04,6
105/11/01,82000,71030,0.88,0.89,0.84,0.84,-0.06,7
105/11/02,126000,94360,0.77,0.78,0.74,0.74,-0.10,6
105/11/03,144000,91960,0.66,0.66,0.61,0.61,-0.13,6
105/11/04,132000,82420,0.58,0.65,0.58,0.62,0.01,8
105/11/07,326000,227540,0.67,0.72,0.67,0.70,0.08,10
105/11/08,376000,260780,0.74,0.76,0.66,0.68,-0.02,11
105/11/09,441000,260640,0.74,0.75,0.47,0.47,-0.21,18
105/11/10,1361000,775500,0.60,0.60,0.56,0.57,0.10,20
105/11/11,1806000,803090,0.45,0.47,0.40,0.40,-0.17,23
105/11/14,1143000,454200,0.41,0.42,0.36,0.40,,19
105/11/15,700000,291150,0.39,0.42,0.39,0.40,,11
105/11/16,682000,278530,0.42,0.42,0.39,0.39,-0.01,9
105/11/17,1263000,522340,0.41,0.45,0.40,0.45,0.06,9
105/11/18,635000,278950,0.45,0.50,0.42,0.49,0.04,14
105/11/21,615000,295300,0.46,0.49,0.46,0.47,-0.02,10
105/11/22,989000,507180,0.50,0.53,0.50,0.50,0.03,17
105/11/23,490000,266100,0.54,0.57,0.53,0.54,0.04,18
105/11/24,157000,78660,0.53,0.53,0.49,0.49,-0.05,9
105/11/25,107000,48980,0.47,0.47,0.44,0.44,-0.05,9
105/11/28,223000,105670,0.47,0.48,0.47,0.48,0.04,12
105/11/29,386000,214540,0.50,0.57,0.50,0.55,0.07,10
105/11/30,641000,322830,0.58,0.58,0.49,0.53,-0.02,15
105/12/01,521000,276540,0.51,0.55,0.51,0.54,0.01,9
105/12/02,123000,60200,0.49,0.50,0.48,0.50,-0.04,7
