105/08/24,9000,2610,0.29,0.29,0.29,0.29,-0.01,1
105/08/25,4000,1120,0.28,0.28,0.28,0.28,-0.01,1
105/08/26,16000,4820,0.29,0.31,0.29,0.31,+0.03,2
105/08/29,28000,8600,0.29,0.33,0.29,0.33,+0.02,2
105/08/30,212000,76080,0.34,0.36,0.34,0.36,+0.03,2
105/08/31,0,0,---,---,---,---,---,0
105/09/01,79000,27310,0.34,0.35,0.34,0.35,+0.01,3
105/09/02,34000,10540,0.31,0.31,0.31,0.31,-0.04,1
105/09/05,0,0,---,---,---,---,---,0
105/09/06,23000,5790,0.25,0.26,0.25,0.25,-0.01,3
105/09/07,182000,48270,0.25,0.27,0.24,0.27,+0.02,5
105/09/08,163000,40060,0.24,0.25,0.24,0.25,-0.02,2
105/09/09,0,0,---,---,---,---,---,0
105/09/10,0,0,---,---,---,---,---,0
105/09/12,8000,1600,0.20,0.20,0.20,0.20,-0.03,1
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
105/09/23,0,0,---,---,---,---,---,0
105/09/26,50000,13500,0.27,0.27,0.27,0.27,+0.05,1
105/09/29,50000,10500,0.21,0.21,0.21,0.21,-0.06,1
105/09/30,0,0,---,---,---,---,---,0
105/10/03,0,0,---,---,---,---,---,0
105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,0,0,---,---,---,---,---,0
