105/11/09,0,0,---,---,---,---,---,0
105/11/10,146000,130800,0.88,0.90,0.88,0.88,+0.10,4
105/11/11,138000,116190,0.85,0.85,0.84,0.84,-0.04,2
105/11/14,0,0,---,---,---,---,---,0
105/11/15,0,0,---,---,---,---,---,0
105/11/16,834000,682160,0.81,0.83,0.79,0.79,+0.05,10
105/11/17,844000,648700,0.74,0.78,0.74,0.74,-0.05,9
105/11/18,649000,460720,0.72,0.73,0.70,0.73,-0.01,10
105/11/21,773000,564410,0.69,0.75,0.69,0.74,+0.01,8
105/11/22,856000,659460,0.77,0.78,0.76,0.78,+0.04,11
105/11/23,1448000,1136690,0.75,0.80,0.74,0.79,+0.01,19
105/11/24,751000,561730,0.74,0.76,0.74,0.75,-0.04,10
105/11/25,107000,80250,0.75,0.75,0.75,0.75,0.00,1
105/11/28,832000,653920,0.76,0.80,0.76,0.80,+0.05,15
105/11/29,984000,766410,0.77,0.79,0.72,0.72,-0.08,12
105/11/30,594000,409610,0.69,0.69,0.68,0.69,-0.03,9
105/12/01,196000,135240,0.69,0.69,0.69,0.69,0.00,2
105/12/02,189000,124740,0.66,0.66,0.66,0.66,-0.03,2
105/12/05,128000,77780,0.66,0.66,0.60,0.61,-0.05,5
105/12/06,17000,10940,0.62,0.66,0.62,0.66,+0.05,3
105/12/07,308000,200460,0.64,0.67,0.64,0.67,+0.01,7
105/12/08,1455000,1217550,0.75,0.99,0.74,0.95,+0.28,34
105/12/09,781000,671980,0.94,0.94,0.83,0.84,-0.11,25
105/12/12,575000,488020,0.82,0.88,0.81,0.81,-0.03,13
105/12/13,531000,406760,0.76,0.79,0.75,0.76,-0.05,7
105/12/14,708000,539670,0.79,0.79,0.76,0.76,0.00,9
105/12/15,250000,182380,0.76,0.76,0.69,0.70,-0.06,7
105/12/16,655000,433210,0.69,0.69,0.65,0.67,-0.03,7
105/12/19,60000,38300,0.64,0.64,0.63,0.63,-0.04,3
105/12/20,98000,59560,0.62,0.62,0.60,0.60,-0.03,7
105/12/21,120000,72400,0.60,0.62,0.60,0.62,+0.02,2
105/12/22,300000,175000,0.59,0.59,0.58,0.58,-0.04,2
105/12/23,140000,80850,0.59,0.59,0.56,0.57,-0.01,5
105/12/26,228000,134640,0.58,0.61,0.58,0.60,+0.03,3
105/12/27,148000,85840,0.58,0.58,0.58,0.58,-0.02,2
105/12/28,105000,62950,0.59,0.60,0.59,0.60,+0.02,2
105/12/29,211000,120070,0.55,0.57,0.55,0.57,-0.03,4
105/12/30,48000,28040,0.58,0.60,0.55,0.60,+0.03,5
106/01/03,85000,48150,0.57,0.57,0.56,0.56,-0.04,2
106/01/04,30000,16800,0.56,0.56,0.56,0.56,0.00,1
106/01/05,25000,14250,0.57,0.57,0.57,0.57,+0.01,1
106/01/06,594000,359160,0.59,0.62,0.59,0.61,+0.04,13
106/01/09,409000,232240,0.59,0.59,0.53,0.53,-0.08,10
106/01/10,132000,69960,0.53,0.53,0.53,0.53,0.00,1
106/01/11,172000,96040,0.57,0.57,0.52,0.52,-0.01,2
106/01/12,351000,182550,0.51,0.53,0.51,0.51,-0.01,11
106/01/13,619000,316370,0.50,0.52,0.50,0.50,-0.01,10
106/01/16,258000,120960,0.48,0.48,0.44,0.44,-0.06,5
106/01/17,437000,172830,0.41,0.42,0.39,0.42,-0.02,5
106/01/18,140000,59800,0.42,0.43,0.42,0.43,+0.01,4
106/01/19,5000,2150,0.43,0.43,0.43,0.43,0.00,1
