105/08/24,10000,4700,0.47,0.47,0.47,0.47,-0.02,1
105/08/25,10000,4900,0.49,0.49,0.49,0.49,+0.02,1
105/08/26,0,0,---,---,---,---,---,0
105/08/29,0,0,---,---,---,---,---,0
105/08/30,0,0,---,---,---,---,---,0
105/08/31,0,0,---,---,---,---,---,0
105/09/01,0,0,---,---,---,---,---,0
105/09/02,0,0,---,---,---,---,---,0
105/09/05,0,0,---,---,---,---,---,0
105/09/06,0,0,---,---,---,---,---,0
105/09/07,0,0,---,---,---,---,---,0
105/09/08,0,0,---,---,---,---,---,0
105/09/09,0,0,---,---,---,---,---,0
105/09/10,0,0,---,---,---,---,---,0
105/09/12,0,0,---,---,---,---,---,0
105/09/13,13000,6330,0.51,0.51,0.48,0.48,-0.07,2
105/09/14,2000,880,0.44,0.44,0.44,0.44,-0.04,1
105/09/19,0,0,---,---,---,---,---,0
105/09/20,11000,6100,0.50,0.56,0.50,0.56,+0.07,2
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
