105/08/24,14000,34240,2.51,2.51,2.42,2.46,-0.06,4
105/08/25,595000,1478070,2.51,2.51,2.33,2.35,-0.11,7
105/08/26,581000,1381180,2.37,2.50,2.37,2.50,0.15,13
105/08/29,32000,75450,2.39,2.39,2.31,2.38,-0.12,7
105/08/30,1804000,4049190,2.38,2.39,2.15,2.32,-0.06,34
105/08/31,524000,1184710,2.35,2.35,2.21,2.27,-0.05,20
105/09/01,817000,2065270,2.54,2.66,2.49,2.66,0.39,21
105/09/02,10000,24780,2.48,2.49,2.46,2.46,-0.20,5
105/09/05,217000,546730,2.44,2.55,2.44,2.55,0.09,5
105/09/06,349000,880450,2.49,2.62,2.49,2.49,-0.06,11
105/09/07,115000,289300,2.47,2.61,2.47,2.61,0.12,8
105/09/08,58000,145040,2.45,2.53,2.45,2.48,-0.13,5
105/09/09,42000,96450,2.32,2.32,2.24,2.29,-0.19,7
105/09/10,34000,68520,2.08,2.08,1.96,1.96,-0.33,5
105/09/12,218000,369380,1.75,1.75,1.63,1.69,-0.27,15
105/09/13,251000,480930,1.83,2.01,1.82,2.01,0.32,20
105/09/14,87000,187840,2.08,2.21,2.08,2.20,0.19,7
105/09/19,91000,240460,2.52,2.74,2.48,2.68,0.48,13
105/09/20,116000,313330,2.69,2.73,2.68,2.71,0.03,7
