105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,273000,542700,1.96,2.20,1.96,2.20,+0.57,4
105/10/07,273000,588900,2.18,2.18,2.03,2.14,-0.06,4
105/10/11,16000,27440,1.64,1.84,1.64,1.74,-0.40,3
105/10/12,22000,36560,1.65,1.80,1.56,1.64,-0.10,12
105/10/13,3000,4560,1.52,1.52,1.52,1.52,-0.12,1
105/10/14,46000,59790,1.48,1.48,1.15,1.15,-0.37,6
105/10/17,372000,507090,1.30,1.43,1.30,1.40,+0.25,14
105/10/18,359000,474340,1.29,1.37,1.26,1.37,-0.03,6
105/10/19,53000,79300,1.45,1.52,1.45,1.48,+0.11,8
105/10/20,396000,673990,1.62,1.76,1.61,1.76,+0.28,13
105/10/21,470000,901880,1.84,1.98,1.80,1.88,+0.12,17
105/10/24,76000,131400,1.77,1.84,1.60,1.65,-0.23,16
105/10/25,472000,873910,1.73,1.95,1.73,1.93,+0.28,14
105/10/26,423000,763320,1.67,1.83,1.62,1.68,-0.25,14
105/10/27,15000,24960,1.75,1.75,1.60,1.60,-0.08,5
105/10/28,6000,9520,1.58,1.62,1.58,1.62,+0.02,2
105/10/31,30000,50100,1.68,1.70,1.63,1.63,+0.01,3
105/11/01,34000,55360,1.66,1.66,1.56,1.56,-0.07,5
105/11/02,122000,154860,1.47,1.47,1.17,1.25,-0.31,14
105/11/03,19000,25000,1.42,1.42,1.26,1.30,+0.05,6
105/11/04,169000,246270,1.37,1.58,1.33,1.48,+0.18,12
