105/11/11,0,0,---,---,---,---,---,0
105/11/14,0,0,---,---,---,---,---,0
105/11/15,48000,80640,1.68,1.68,1.68,1.68,+0.07,1
105/11/16,225000,401510,1.73,1.89,1.71,1.89,+0.21,9
105/11/17,194000,358010,1.85,1.94,1.80,1.85,-0.04,12
105/11/18,167000,301220,1.80,1.83,1.74,1.76,-0.09,13
105/11/21,131000,228300,1.76,1.78,1.70,1.78,+0.02,10
105/11/22,84000,146300,1.76,1.79,1.72,1.78,0.00,5
105/11/23,127000,217380,1.73,1.74,1.69,1.69,-0.09,9
105/11/24,199000,340310,1.71,1.74,1.69,1.74,+0.05,7
105/11/25,227000,379480,1.65,1.68,1.64,1.67,-0.07,6
105/11/28,11000,18590,1.69,1.69,1.69,1.69,+0.02,1
105/11/29,499000,912080,1.77,1.89,1.74,1.89,+0.20,18
105/11/30,384000,752420,1.92,2.01,1.92,1.97,+0.08,18
105/12/01,399000,782980,1.93,1.98,1.92,1.96,-0.01,20
105/12/02,372000,737030,1.95,2.15,1.92,2.15,+0.19,23
105/12/05,198000,413640,2.12,2.13,2.03,2.05,-0.10,17
105/12/06,112000,202310,1.86,1.87,1.75,1.75,-0.30,12
105/12/07,499000,859240,1.68,1.74,1.68,1.73,-0.02,15
105/12/08,649000,1113930,1.68,1.82,1.67,1.82,+0.09,41
105/12/09,378000,667830,1.76,1.81,1.73,1.76,-0.06,19
105/12/12,286000,504930,1.73,1.81,1.71,1.81,+0.05,11
105/12/13,430000,799530,1.81,1.91,1.81,1.82,+0.01,27
105/12/14,393000,686980,1.77,1.79,1.66,1.72,-0.10,38
105/12/15,253000,440250,1.76,1.77,1.71,1.71,-0.01,12
105/12/16,12000,21120,1.77,1.77,1.75,1.75,+0.04,3
105/12/19,1000,1730,1.73,1.73,1.73,1.73,-0.02,1
105/12/20,819000,1547420,1.77,1.94,1.77,1.92,+0.19,28
105/12/21,481000,875660,1.84,1.88,1.80,1.87,-0.05,29
105/12/22,427000,750940,1.80,1.81,1.68,1.72,-0.15,16
105/12/23,221000,389930,1.74,1.78,1.74,1.78,+0.06,12
105/12/26,173000,300560,1.74,1.79,1.72,1.79,+0.01,10
105/12/27,101000,179880,1.78,1.81,1.77,1.81,+0.02,7
105/12/28,40000,70660,1.78,1.78,1.71,1.73,-0.08,4
105/12/29,91000,155000,1.71,1.71,1.69,1.70,-0.03,7
105/12/30,101000,171810,1.71,1.71,1.70,1.71,+0.01,5
106/01/03,75000,120000,1.62,1.62,1.59,1.60,-0.11,7
