105/08/24,137000,19860,0.18,0.18,0.13,0.13,-0.07,5
105/08/25,110000,17700,0.14,0.22,0.14,0.22,+0.09,10
105/08/26,72000,9660,0.15,0.15,0.13,0.13,-0.09,7
105/08/29,283000,19010,0.08,0.08,0.05,0.07,-0.06,28
105/08/30,305000,19950,0.07,0.08,0.05,0.06,-0.01,27
105/08/31,40000,600,0.02,0.02,0.01,0.01,-0.05,2
105/09/01,0,0,---,---,---,---,---,0
105/09/02,0,0,---,---,---,---,---,0
105/09/05,0,0,---,---,---,---,---,0
105/09/06,0,0,---,---,---,---,---,0
105/09/07,0,0,---,---,---,---,---,0
105/09/08,365000,6600,0.01,0.04,0.01,0.04,+0.03,19
105/09/09,291000,11100,0.05,0.05,0.02,0.04,0.00,17
105/09/10,0,0,---,---,---,---,---,0
105/09/12,50000,500,0.01,0.01,0.01,0.01,-0.03,1
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
