105/10/14,0,0,---,---,---,---,---,0
105/10/17,170000,114100,0.67,0.68,0.67,0.68,+0.01,2
105/10/18,170000,105400,0.62,0.62,0.62,0.62,-0.06,2
105/10/19,150000,93000,0.62,0.62,0.62,0.62,0.00,1
105/10/20,300000,190500,0.63,0.64,0.63,0.64,+0.02,2
105/10/21,377000,242010,0.65,0.65,0.63,0.63,-0.01,4
105/10/24,75000,39000,0.52,0.52,0.52,0.52,-0.11,1
105/10/25,338000,165460,0.50,0.51,0.48,0.49,-0.03,11
105/10/26,176000,76530,0.45,0.45,0.40,0.41,-0.08,8
105/10/27,49000,20170,0.42,0.42,0.40,0.41,0.00,5
105/10/28,158000,64890,0.41,0.43,0.41,0.43,+0.02,4
105/10/31,162000,67840,0.42,0.42,0.40,0.40,-0.03,3
105/11/01,220000,81200,0.36,0.37,0.36,0.37,-0.03,3
105/11/02,514000,219490,0.40,0.43,0.40,0.43,+0.06,11
105/11/03,782000,337580,0.42,0.45,0.42,0.42,-0.01,10
105/11/04,126000,51670,0.41,0.42,0.41,0.42,0.00,3
105/11/07,35000,13150,0.37,0.39,0.37,0.39,-0.03,2
