105/11/01,0,0,---,---,---,---,---,0
105/11/02,15000,17550,1.17,1.17,1.17,1.17,+0.05,1
105/11/03,153000,189570,1.22,1.27,1.22,1.24,+0.07,4
105/11/04,170000,204350,1.21,1.21,1.19,1.19,-0.05,5
105/11/07,19000,20980,1.14,1.14,1.06,1.06,-0.13,3
105/11/08,100000,110000,1.10,1.10,1.10,1.10,+0.04,2
105/11/09,462000,549860,1.07,1.25,1.07,1.25,+0.15,9
105/11/10,351000,420910,1.21,1.21,1.19,1.19,-0.06,3
105/11/11,0,0,---,---,---,---,---,0
105/11/14,189000,212790,1.13,1.14,1.12,1.13,-0.01,7
105/11/15,174000,191310,1.11,1.11,1.08,1.08,-0.05,5
105/11/16,40000,40450,1.05,1.05,0.97,0.98,-0.10,12
105/11/17,53000,52880,1.01,1.01,0.97,0.97,-0.01,4
105/11/18,94000,89360,0.92,0.97,0.92,0.97,0.00,8
105/11/21,190000,191440,1.01,1.02,1.00,1.01,+0.04,10
105/11/22,299000,289590,0.97,0.97,0.96,0.97,-0.04,7
105/11/23,248000,243910,0.97,1.00,0.96,1.00,+0.03,7
105/11/24,436000,415790,0.93,0.98,0.93,0.98,-0.02,6
105/11/25,413000,398560,0.96,1.00,0.95,0.99,+0.01,11
105/11/28,102000,97920,0.96,0.97,0.95,0.96,-0.03,7
105/11/29,6000,5700,0.95,0.95,0.95,0.95,-0.01,1
105/11/30,30000,27300,0.91,0.91,0.91,0.91,-0.04,2
105/12/01,262000,236000,0.89,0.92,0.89,0.92,+0.01,7
105/12/02,277000,242130,0.89,0.89,0.80,0.80,-0.12,9
105/12/05,35000,26050,0.79,0.79,0.71,0.73,-0.07,4
105/12/06,243000,179840,0.74,0.75,0.73,0.73,0.00,7
105/12/07,342000,243560,0.72,0.75,0.70,0.73,0.00,11
105/12/08,538000,421410,0.73,0.84,0.73,0.83,+0.10,17
105/12/09,507000,416440,0.83,0.83,0.79,0.81,-0.02,12
105/12/12,231000,198210,0.84,0.90,0.83,0.90,+0.09,8
105/12/13,415000,362430,0.84,0.91,0.84,0.91,+0.01,9
105/12/14,344000,305870,0.86,0.91,0.86,0.91,0.00,11
105/12/15,361000,327620,0.88,0.92,0.88,0.92,+0.01,12
105/12/16,330000,290960,0.87,0.91,0.87,0.90,-0.02,11
105/12/19,59000,52520,0.88,0.91,0.88,0.91,+0.01,5
105/12/20,100000,88000,0.88,0.88,0.88,0.88,-0.03,3
105/12/21,179000,177290,0.91,1.00,0.91,1.00,+0.12,3
105/12/22,204000,210070,1.03,1.04,1.02,1.02,+0.02,5
105/12/23,10000,10100,1.01,1.01,1.01,1.01,-0.01,1
105/12/26,18000,18540,1.02,1.04,1.02,1.04,+0.03,2
