105/10/26,0,0,---,---,---,---,---,0
105/10/27,585000,561540,0.94,0.99,0.94,0.94,+0.11,22
105/10/28,596000,506810,0.86,0.87,0.80,0.80,-0.14,15
105/10/31,20000,14800,0.74,0.74,0.74,0.74,-0.06,1
105/11/01,135000,109350,0.81,0.81,0.81,0.81,+0.07,7
105/11/02,100000,78000,0.78,0.78,0.78,0.78,-0.03,2
105/11/03,2000,1460,0.73,0.73,0.73,0.73,-0.05,1
105/11/04,22000,15520,0.66,0.75,0.66,0.75,+0.02,3
105/11/07,90000,73990,0.79,0.84,0.79,0.83,+0.08,9
105/11/08,41000,31090,0.79,0.79,0.75,0.77,-0.06,3
105/11/09,720000,427240,0.65,0.69,0.52,0.52,-0.25,24
105/11/10,65000,42390,0.62,0.67,0.62,0.66,+0.14,8
105/11/11,32000,19390,0.62,0.63,0.59,0.59,-0.07,4
105/11/14,751000,456360,0.61,0.63,0.57,0.61,+0.02,11
105/11/15,665000,438480,0.63,0.69,0.63,0.66,+0.05,19
105/11/16,582000,414370,0.70,0.73,0.69,0.69,+0.03,17
105/11/17,1080000,856960,0.74,0.83,0.74,0.83,+0.14,57
105/11/18,1111000,1001600,0.90,0.92,0.87,0.87,+0.04,41
105/11/21,292000,250140,0.83,0.88,0.83,0.87,0.00,18
105/11/22,505000,484750,0.94,1.01,0.94,0.97,+0.10,30
105/11/23,323000,316630,1.00,1.01,0.94,0.95,-0.02,18
105/11/24,539000,614110,1.17,1.19,1.02,1.02,+0.07,32
105/11/25,337000,341090,1.02,1.09,0.99,1.00,-0.02,17
105/11/28,296000,286260,1.07,1.07,0.81,0.81,-0.19,15
105/11/29,105000,95560,0.86,0.93,0.86,0.92,+0.11,7
105/11/30,125000,123310,1.00,1.00,0.95,0.97,+0.05,9
105/12/01,51000,49860,1.02,1.02,0.95,0.95,-0.02,4
105/12/02,20000,18200,0.91,0.91,0.91,0.91,-0.04,1
