105/08/24,149000,128140,0.86,0.86,0.86,0.86,-0.02,2
105/08/25,0,0,---,---,---,---,---,0
105/08/26,0,0,---,---,---,---,---,0
105/08/29,20000,15600,0.78,0.78,0.78,0.78,-0.03,2
105/08/30,36000,28080,0.78,0.78,0.78,0.78,0.00,1
105/08/31,0,0,---,---,---,---,---,0
105/09/01,1000,720,0.72,0.72,0.72,0.72,-0.06,1
105/09/02,0,0,---,---,---,---,---,0
105/09/05,370000,199800,0.54,0.54,0.54,0.54,-0.14,3
105/09/06,164000,90940,0.56,0.56,0.53,0.53,-0.01,6
105/09/07,179000,90600,0.50,0.53,0.50,0.53,0.00,5
105/09/08,0,0,---,---,---,---,---,0
105/09/09,160000,83400,0.52,0.54,0.52,0.54,+0.04,4
105/09/10,520000,287700,0.56,0.56,0.55,0.55,+0.01,5
105/09/12,20000,10400,0.52,0.52,0.52,0.52,-0.03,1
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
