105/08/24,30000,92400,3.18,3.18,2.98,2.98,-0.33,3
105/08/25,35000,100600,3.01,3.01,2.78,2.78,-0.20,4
105/08/26,60000,174700,2.90,2.95,2.90,2.90,+0.12,5
105/08/29,10000,29100,2.91,2.91,2.91,2.91,+0.01,1
105/08/30,40000,119000,3.22,3.22,2.80,2.80,-0.11,3
105/08/31,30000,86100,2.83,2.89,2.83,2.89,+0.09,2
105/09/01,0,0,---,---,---,---,---,0
105/09/02,0,0,---,---,---,---,---,0
105/09/05,80000,309860,3.75,3.99,3.75,3.99,+0.70,4
105/09/06,0,0,---,---,---,---,---,0
105/09/07,0,0,---,---,---,---,---,0
105/09/08,0,0,---,---,---,---,---,0
105/09/09,0,0,---,---,---,---,---,0
105/09/10,0,0,---,---,---,---,---,0
105/09/12,0,0,---,---,---,---,---,0
