105/10/03,0,0,---,---,---,---,---,0
105/10/04,10000,9400,0.94,0.94,0.94,0.94,0.00,1
105/10/05,11000,10450,0.95,0.95,0.95,0.95,+0.01,1
105/10/06,99000,95040,0.96,0.96,0.96,0.96,+0.01,2
105/10/07,110000,102440,0.93,0.94,0.93,0.94,-0.02,3
105/10/11,46000,48140,1.00,1.09,1.00,1.07,+0.13,4
105/10/12,144000,140150,1.01,1.01,0.95,0.98,-0.09,5
105/10/13,28000,26630,0.96,0.96,0.95,0.95,-0.03,3
105/10/14,0,0,---,---,---,---,---,0
105/10/17,1420000,1170720,0.87,0.87,0.79,0.79,-0.15,33
105/10/18,1573000,1245810,0.80,0.84,0.75,0.81,+0.02,40
105/10/19,1261000,1002340,0.75,0.84,0.75,0.79,-0.02,27
105/10/20,433000,339310,0.79,0.79,0.75,0.78,-0.01,22
105/10/21,380000,308220,0.79,0.82,0.79,0.82,+0.04,14
105/10/24,104000,83250,0.82,0.82,0.79,0.79,-0.03,3
105/10/25,10000,7700,0.77,0.77,0.77,0.77,-0.02,1
105/10/26,128000,88690,0.72,0.72,0.68,0.70,-0.07,12
105/10/27,991000,711510,0.70,0.72,0.70,0.72,+0.02,12
105/10/28,195000,142150,0.72,0.73,0.72,0.73,+0.01,9
105/10/31,813000,625960,0.76,0.78,0.75,0.75,+0.02,10
105/11/01,261000,203090,0.77,0.79,0.75,0.78,+0.03,11
105/11/02,297000,237560,0.80,0.88,0.78,0.88,+0.10,11
105/11/03,210000,186600,0.88,0.91,0.87,0.87,-0.01,9
105/11/04,87000,73700,0.85,0.86,0.84,0.86,-0.01,5
105/11/07,15000,13050,0.87,0.87,0.87,0.87,+0.01,2
105/11/08,0,0,---,---,---,---,---,0
105/11/09,64000,57870,0.89,0.91,0.89,0.91,+0.09,6
105/11/10,179000,142970,0.80,0.81,0.79,0.80,-0.11,9
105/11/11,164000,143410,0.86,0.89,0.86,0.89,+0.09,12
