105/08/24,2250000,2129330,0.91,0.99,0.91,0.92,+0.05,115
105/08/25,1658000,1509980,0.92,0.94,0.90,0.91,-0.01,67
105/08/26,462000,420390,0.90,0.93,0.89,0.89,-0.02,15
105/08/29,824000,675190,0.86,0.86,0.79,0.81,-0.08,36
105/08/30,588000,482580,0.82,0.83,0.79,0.79,-0.02,21
105/08/31,641000,486390,0.78,0.78,0.73,0.76,-0.03,23
105/09/01,834000,674850,0.77,0.82,0.77,0.82,+0.06,13
105/09/02,1207000,885490,0.77,0.77,0.69,0.70,-0.12,37
105/09/05,276000,179310,0.71,0.71,0.63,0.67,-0.03,18
105/09/06,522000,412600,0.74,0.80,0.74,0.80,+0.13,12
105/09/07,308000,228210,0.74,0.78,0.74,0.78,-0.02,5
105/09/08,143000,111730,0.76,0.81,0.75,0.77,-0.01,13
105/09/09,34000,25240,0.75,0.77,0.73,0.73,-0.04,11
105/09/10,339000,189630,0.58,0.59,0.52,0.52,-0.21,13
105/09/12,82000,42130,0.51,0.54,0.51,0.52,0.00,5
105/09/13,442000,188870,0.56,0.56,0.35,0.37,-0.15,24
105/09/14,276000,75770,0.34,0.34,0.26,0.26,-0.11,10
105/09/19,239000,64160,0.26,0.28,0.24,0.28,+0.02,9
105/09/20,330000,68800,0.24,0.24,0.19,0.19,-0.09,10
105/09/21,31000,5900,0.19,0.20,0.19,0.20,+0.01,2
105/09/22,100000,15200,0.17,0.17,0.14,0.14,-0.06,5
105/09/23,450000,57000,0.14,0.14,0.10,0.14,0.00,11
105/09/26,316000,45060,0.16,0.16,0.13,0.16,+0.02,11
105/09/29,0,0,---,---,---,---,---,0
105/09/30,117000,19040,0.12,0.18,0.12,0.18,+0.04,7
105/10/03,90000,15500,0.17,0.18,0.17,0.18,0.00,3
105/10/04,90000,16150,0.18,0.18,0.17,0.18,0.00,3
105/10/05,140000,22400,0.16,0.16,0.16,0.16,-0.02,3
105/10/06,40000,6400,0.16,0.16,0.16,0.16,0.00,1
105/10/07,35000,5400,0.15,0.16,0.15,0.16,0.00,3
105/10/11,250000,33500,0.13,0.14,0.13,0.14,-0.02,3
105/10/12,308000,46120,0.15,0.15,0.14,0.14,0.00,2
105/10/13,0,0,---,---,---,---,---,0
105/10/14,396000,70320,0.15,0.19,0.15,0.17,+0.03,6
105/10/17,30000,4500,0.15,0.15,0.15,0.15,-0.02,2
105/10/18,2000,340,0.17,0.17,0.17,0.17,+0.02,1
105/10/19,30000,4200,0.14,0.14,0.14,0.14,-0.03,2
105/10/20,363000,38560,0.14,0.14,0.10,0.10,-0.04,7
105/10/21,703000,78350,0.10,0.13,0.10,0.13,+0.03,6
105/10/24,581000,75130,0.13,0.14,0.12,0.14,+0.01,4
105/10/25,40000,5200,0.13,0.13,0.13,0.13,-0.01,1
105/10/26,60000,7800,0.13,0.13,0.13,0.13,0.00,2
105/10/27,20000,3200,0.16,0.16,0.16,0.16,+0.03,1
105/10/28,80000,11200,0.15,0.15,0.13,0.13,-0.03,2
105/10/31,0,0,---,---,---,---,---,0
105/11/01,50000,6000,0.12,0.12,0.12,0.12,-0.01,1
105/11/02,0,0,---,---,---,---,---,0
105/11/03,80000,6200,0.07,0.09,0.07,0.09,+0.01,3
105/11/04,200000,18000,0.09,0.09,0.09,0.09,0.00,2
105/11/07,50000,4000,0.08,0.08,0.08,0.08,-0.01,1
105/11/08,0,0,---,---,---,---,---,0
105/11/09,0,0,---,---,---,---,---,0
105/11/10,270000,18900,0.07,0.07,0.07,0.07,+0.01,4
105/11/11,0,0,---,---,---,---,---,0
105/11/14,0,0,---,---,---,---,---,0
105/11/15,1000,30,0.03,0.03,0.03,0.03,-0.02,1
105/11/16,0,0,---,---,---,---,---,0
105/11/17,0,0,---,---,---,---,---,0
105/11/18,0,0,---,---,---,---,---,0
