105/11/11,0,0,---,---,---,---,---,0
105/11/14,0,0,---,---,---,---,---,0
105/11/15,10000,19000,1.90,1.90,1.90,1.90,+0.10,1
105/11/16,50000,100200,1.96,2.06,1.96,2.06,+0.16,5
105/11/17,325000,687950,2.12,2.20,2.03,2.09,+0.03,10
105/11/18,60000,124300,2.08,2.08,2.03,2.03,-0.06,2
105/11/21,308000,625740,1.97,2.08,1.97,2.08,+0.05,11
105/11/22,458000,937260,2.02,2.09,2.01,2.01,-0.07,9
105/11/23,30000,59700,1.99,1.99,1.99,1.99,-0.02,1
105/11/24,367000,724980,1.96,1.99,1.96,1.98,-0.01,9
105/11/25,362000,694060,1.90,1.92,1.87,1.87,-0.11,6
105/11/28,51000,98430,1.93,1.93,1.93,1.93,+0.06,1
105/11/29,223000,453210,1.99,2.15,1.98,2.15,+0.22,10
105/11/30,323000,724570,2.21,2.30,2.18,2.25,+0.10,16
105/12/01,477000,1063920,2.21,2.25,2.21,2.25,0.00,14
105/12/02,426000,950330,2.19,2.40,2.18,2.40,+0.15,23
105/12/05,150000,366240,2.43,2.45,2.31,2.31,-0.09,5
105/12/06,22000,44440,2.06,2.06,1.99,1.99,-0.32,3
105/12/07,111000,216870,1.94,1.97,1.94,1.94,-0.05,3
105/12/08,177000,341830,1.88,2.06,1.88,2.06,+0.12,11
