105/09/09,0,0,---,---,---,---,---,0
105/09/10,110000,205880,1.84,1.92,1.84,1.92,+0.21,6
105/09/12,110000,208800,1.90,1.90,1.89,1.89,-0.03,4
105/09/13,74000,155760,2.05,2.11,2.05,2.10,+0.21,3
105/09/14,64000,138280,2.14,2.17,2.14,2.17,+0.07,3
105/09/19,30000,59100,2.01,2.01,1.95,1.95,-0.22,2
105/09/20,34000,57520,1.93,1.93,1.66,1.66,-0.29,2
105/09/21,51000,86910,1.70,1.73,1.69,1.73,+0.07,3
105/09/22,189000,299080,1.58,1.61,1.58,1.60,-0.13,5
105/09/23,170000,275700,1.63,1.63,1.56,1.56,-0.04,4
105/09/26,150000,211500,1.41,1.41,1.41,1.41,-0.15,2
105/09/29,0,0,---,---,---,---,---,0
105/09/30,8000,12160,1.52,1.52,1.52,1.52,+0.08,1
105/10/03,70000,110580,1.50,1.59,1.50,1.59,+0.07,2
105/10/04,160000,286340,1.74,1.83,1.74,1.83,+0.24,4
105/10/05,119000,242950,2.07,2.07,1.71,1.71,-0.12,4
105/10/06,15000,26100,1.74,1.74,1.74,1.74,+0.03,1
105/10/07,22000,38850,1.77,1.77,1.76,1.76,+0.02,2
105/10/11,20000,34200,1.69,1.73,1.69,1.73,-0.03,2
105/10/12,45000,80550,1.79,1.79,1.79,1.79,+0.06,1
105/10/13,51000,88860,1.74,1.76,1.74,1.76,-0.03,2
105/10/14,73000,141160,1.86,1.95,1.86,1.93,+0.17,8
105/10/17,43000,85860,1.99,2.01,1.99,2.00,+0.07,3
105/10/18,0,0,---,---,---,---,---,0
105/10/19,25000,45750,1.83,1.83,1.83,1.83,-0.06,1
105/10/20,234000,474990,1.97,2.07,1.97,2.06,+0.23,12
105/10/21,182000,394620,2.18,2.19,2.10,2.16,+0.10,7
105/10/24,123000,286500,2.21,2.41,2.21,2.36,+0.20,9
105/10/25,307000,625140,2.23,2.26,1.95,1.98,-0.38,8
105/10/26,125000,254560,1.99,2.07,1.99,2.06,+0.08,6
105/10/27,118000,236420,2.01,2.01,1.96,1.98,-0.08,3
105/10/28,24000,49920,2.08,2.08,2.08,2.08,+0.10,1
105/10/31,79000,168100,2.13,2.16,2.09,2.16,+0.08,9
105/11/01,62000,144190,2.26,2.34,2.26,2.34,+0.18,6
