105/08/29,304000,355950,1.17,1.26,1.17,1.26,-0.29,5
105/08/30,1240000,1498310,1.23,1.23,1.17,1.17,-0.09,23
105/08/31,1471000,1774770,1.22,1.24,1.17,1.24,0.07,24
105/09/01,1171000,1340910,1.17,1.17,1.13,1.15,-0.09,25
105/09/02,977000,1149210,1.18,1.20,1.15,1.15,,29
105/09/05,1259000,1577140,1.25,1.26,1.22,1.26,0.11,25
105/09/06,932000,1204300,1.27,1.30,1.27,1.30,0.04,18
105/09/07,792000,1147520,1.40,1.57,1.40,1.55,0.25,16
105/09/08,268000,398080,1.49,1.49,1.47,1.48,-0.07,13
105/09/09,385000,526720,1.38,1.38,1.34,1.37,-0.11,12
105/09/10,501000,628330,1.23,1.31,1.23,1.29,-0.08,18
105/09/12,1624000,1901180,1.19,1.20,1.13,1.18,-0.11,36
105/09/13,2524000,2909430,1.19,1.19,1.11,1.16,-0.02,36
105/09/14,3903000,4355010,1.14,1.17,1.09,1.10,-0.06,53
105/09/19,4836000,6433200,1.30,1.46,1.28,1.43,0.33,64
105/09/20,511000,733900,1.39,1.47,1.39,1.45,0.02,21
105/09/21,124000,175780,1.40,1.46,1.37,1.46,0.01,10
105/09/22,31000,47100,1.52,1.52,1.50,1.50,0.04,4
