105/11/04,0,0,---,---,---,---,---,0
105/11/07,943000,803380,0.82,0.93,0.81,0.93,+0.19,16
105/11/08,999000,1049240,1.04,1.08,0.93,0.99,+0.06,26
105/11/09,198000,179480,1.01,1.01,0.77,0.79,-0.20,16
105/11/10,270000,264060,0.94,1.03,0.93,1.03,+0.24,12
105/11/11,332000,329210,0.97,1.04,0.97,1.04,+0.01,6
105/11/14,195000,218190,1.12,1.14,1.08,1.14,+0.10,12
105/11/15,72000,80260,1.04,1.14,1.04,1.11,-0.03,9
105/11/16,95000,107810,1.14,1.17,1.06,1.06,-0.05,12
105/11/17,155000,165270,1.03,1.07,1.03,1.07,+0.01,6
105/11/18,158000,173790,1.09,1.15,1.07,1.15,+0.08,11
105/11/21,21000,23540,1.13,1.14,1.11,1.11,-0.04,4
105/11/22,110000,130840,1.19,1.21,1.15,1.15,+0.04,9
105/11/23,77000,84700,1.10,1.10,1.10,1.10,-0.05,2
105/11/24,6000,6640,1.11,1.11,1.10,1.10,0.00,2
