105/11/09,600000,374000,0.62,0.66,0.62,0.66,-0.29,7
105/11/10,250000,163500,0.65,0.66,0.65,0.65,-0.01,3
105/11/11,172000,120080,0.67,0.73,0.67,0.68,+0.03,9
105/11/14,55000,36100,0.67,0.68,0.63,0.66,-0.02,7
105/11/15,141000,92910,0.66,0.66,0.65,0.65,-0.01,4
105/11/16,121000,77440,0.64,0.64,0.64,0.64,-0.01,1
105/11/17,208000,142910,0.67,0.70,0.67,0.67,+0.03,11
105/11/18,44000,28730,0.67,0.67,0.64,0.65,-0.02,5
105/11/21,50000,32500,0.65,0.65,0.65,0.65,0.00,1
105/11/22,127000,78800,0.65,0.65,0.62,0.62,-0.03,3
105/11/23,0,0,---,---,---,---,---,0
105/11/24,0,0,---,---,---,---,---,0
105/11/25,0,0,---,---,---,---,---,0
105/11/28,0,0,---,---,---,---,---,0
105/11/29,200000,114000,0.57,0.57,0.57,0.57,-0.02,2
105/11/30,0,0,---,---,---,---,---,0
105/12/01,200000,108190,0.54,0.55,0.54,0.55,-0.03,4
105/12/02,117000,68100,0.58,0.60,0.58,0.60,+0.05,3
105/12/05,203000,118710,0.57,0.60,0.57,0.60,0.00,2
105/12/06,0,0,---,---,---,---,---,0
105/12/07,0,0,---,---,---,---,---,0
105/12/08,0,0,---,---,---,---,---,0
105/12/09,107000,59920,0.56,0.56,0.56,0.56,+0.01,1
105/12/12,107000,57780,0.54,0.54,0.54,0.54,-0.02,1
105/12/13,1000,560,0.56,0.56,0.56,0.56,+0.02,1
105/12/14,1000,550,0.55,0.55,0.55,0.55,-0.01,1
105/12/15,251000,143070,0.57,0.57,0.57,0.57,+0.02,2
105/12/16,211000,116050,0.55,0.55,0.55,0.55,-0.02,1
105/12/19,151000,81540,0.54,0.54,0.54,0.54,-0.01,3
105/12/20,273000,146900,0.53,0.54,0.52,0.52,-0.02,3
105/12/21,692000,366760,0.53,0.53,0.53,0.53,+0.01,4
105/12/22,659000,349450,0.53,0.54,0.53,0.54,+0.01,4
105/12/23,189000,102060,0.54,0.54,0.54,0.54,0.00,1
