106/03/13,41000,91970,2.21,2.38,2.19,2.38,0.28,12
106/03/14,103000,253230,2.37,2.54,2.37,2.54,0.16,8
106/03/15,86000,211060,2.46,2.61,2.38,2.43,-0.11,8
106/03/16,131000,361120,2.79,2.98,2.64,2.64,0.21,9
106/03/17,39000,100950,2.53,2.59,2.53,2.59,-0.05,2
106/03/20,108000,297780,2.71,2.80,2.71,2.74,0.15,5
106/03/21,160000,438100,2.74,2.77,2.72,2.75,0.01,6
106/03/22,60000,155400,2.59,2.59,2.59,2.59,-0.16,1
106/03/23,109000,277730,2.62,2.62,2.47,2.47,-0.12,4
106/03/24,39000,92290,2.39,2.39,2.35,2.35,-0.12,2
106/03/27,70000,157500,2.25,2.25,2.25,2.25,-0.10,1
106/03/28,36000,75960,2.11,2.11,2.11,2.11,-0.14,1
106/03/29,46000,93840,2.04,2.04,2.04,2.04,-0.07,2
106/03/30,0,0,--,--,--,--,,0
