105/11/10,0,0,---,---,---,---,---,0
105/11/11,40000,54200,1.38,1.38,1.34,1.34,+0.09,4
105/11/14,55000,71550,1.29,1.33,1.28,1.29,-0.05,4
105/11/15,105000,148500,1.32,1.50,1.32,1.43,+0.14,11
105/11/16,139000,202670,1.42,1.58,1.39,1.58,+0.15,13
105/11/17,196000,307700,1.56,1.64,1.48,1.52,-0.06,13
105/11/18,131000,198070,1.52,1.53,1.46,1.47,-0.05,7
105/11/21,123000,177140,1.46,1.51,1.40,1.51,+0.04,10
105/11/22,101000,148460,1.46,1.49,1.46,1.46,-0.05,8
105/11/23,124000,175840,1.43,1.43,1.41,1.41,-0.05,4
105/11/24,454000,647140,1.41,1.43,1.41,1.43,+0.02,11
105/11/25,404000,552250,1.36,1.38,1.34,1.34,-0.09,10
105/11/28,248000,343380,1.37,1.39,1.34,1.34,0.00,6
105/11/29,1049000,1551090,1.45,1.60,1.44,1.59,+0.25,30
105/11/30,908000,1489310,1.63,1.73,1.59,1.68,+0.09,58
105/12/01,506000,842120,1.64,1.69,1.64,1.69,+0.01,21
105/12/02,614000,1053300,1.63,1.84,1.62,1.84,+0.15,42
105/12/05,668000,1193280,1.85,1.85,1.71,1.71,-0.13,17
105/12/06,352000,531030,1.53,1.55,1.46,1.46,-0.25,25
105/12/07,224000,321390,1.42,1.44,1.42,1.44,-0.02,15
105/12/08,210000,299700,1.39,1.52,1.39,1.52,+0.08,8
105/12/09,165000,241610,1.45,1.50,1.44,1.48,-0.04,8
105/12/12,238000,357140,1.42,1.54,1.42,1.52,+0.04,12
105/12/13,402000,631300,1.55,1.61,1.55,1.55,+0.03,19
105/12/14,200000,292710,1.50,1.50,1.42,1.42,-0.13,6
105/12/15,366000,528880,1.43,1.46,1.43,1.44,+0.02,6
