105/08/24,270000,27000,0.11,0.11,0.09,0.09,-0.02,7
105/08/25,197000,17730,0.09,0.09,0.09,0.09,0.00,3
105/08/26,230000,16100,0.07,0.07,0.07,0.07,-0.02,1
105/08/29,130000,6400,0.08,0.08,0.04,0.04,-0.03,2
105/08/30,190000,3800,0.02,0.02,0.02,0.02,-0.02,4
105/08/31,0,0,---,---,---,---,---,0
105/09/01,0,0,---,---,---,---,---,0
105/09/02,0,0,---,---,---,---,---,0
105/09/05,0,0,---,---,---,---,---,0
105/09/06,0,0,---,---,---,---,---,0
105/09/07,0,0,---,---,---,---,---,0
105/09/08,0,0,---,---,---,---,---,0
105/09/09,0,0,---,---,---,---,---,0
105/09/10,0,0,---,---,---,---,---,0
