105/08/24,20000,11200,0.56,0.56,0.56,0.56,-0.02,1
105/08/25,120000,63600,0.53,0.53,0.53,0.53,-0.03,2
105/08/26,80000,45600,0.57,0.57,0.57,0.57,+0.04,3
105/08/29,65000,36100,0.56,0.56,0.50,0.50,-0.07,3
105/08/30,10000,5000,0.50,0.50,0.50,0.50,0.00,1
105/08/31,10000,4800,0.48,0.48,0.48,0.48,-0.02,1
105/09/01,362000,161130,0.44,0.45,0.44,0.45,-0.03,3
105/09/02,362000,161420,0.45,0.47,0.44,0.44,-0.01,6
105/09/05,0,0,---,---,---,---,---,0
105/09/06,0,0,---,---,---,---,---,0
105/09/07,0,0,---,---,---,---,---,0
105/09/08,0,0,---,---,---,---,---,0
105/09/09,0,0,---,---,---,---,---,0
105/09/10,0,0,---,---,---,---,---,0
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
