105/08/24,672235,28344120,41.75,42.60,41.60,41.90,+0.65,493
105/08/25,361000,15045150,42.00,42.05,41.30,42.00,+0.10,239
105/08/26,231050,9723320,42.00,42.40,41.90,42.00,0.00,154
105/08/29,1311000,56835600,42.70,44.00,42.40,43.50,+1.50,936
105/08/30,372000,16189500,43.50,43.80,43.30,43.50,0.00,291
105/08/31,368200,15877500,43.50,43.85,42.80,43.10,-0.40,259
105/09/01,334000,14214000,43.40,43.40,42.40,42.40,-0.70,235
105/09/02,355180,15051441,42.40,42.90,42.00,42.05,-0.35,247
105/09/05,553000,23723500,42.60,43.20,42.60,43.20,+1.15,281
105/09/06,293000,12645850,43.30,43.40,42.90,43.40,+0.20,192
105/09/07,2168000,98235650,44.40,45.90,44.40,45.05,+1.65,1438
105/09/08,498000,22425750,45.00,45.35,44.75,44.85,-0.20,354
105/09/09,414000,18440850,44.85,44.95,44.25,44.25,-0.60,268
105/09/10,473000,20607300,43.80,43.80,43.40,43.45,-0.80,320
105/09/12,280000,12147300,43.55,43.80,43.10,43.10,-0.35,178
105/09/13,359449,15384837,43.50,43.70,42.40,42.40,-0.70,252
105/09/14,279000,11944450,42.40,43.50,42.40,42.45,+0.05,186
105/09/19,186200,7967099,42.45,42.95,42.45,42.80,+0.35,145
105/09/20,221200,9523760,42.90,43.30,42.90,43.00,+0.20,138
105/09/21,220300,9465510,43.30,43.30,42.85,42.90,-0.10,149
105/09/22,281250,12056975,43.00,43.20,42.65,42.65,-0.25,164
105/09/23,167000,7171300,42.70,43.20,42.65,43.10,+0.45,118
105/09/26,87000,3715900,42.95,42.95,42.55,42.55,-0.55,61
105/09/29,227573,9651207,42.60,42.60,42.20,42.25,-0.30,144
105/09/30,245000,10271450,42.10,42.30,41.75,42.10,-0.15,171
105/10/03,1064185,46477240,42.70,44.20,42.55,44.00,+1.90,693
105/10/04,1598165,72090407,44.70,45.70,44.20,45.15,+1.15,1105
105/10/05,426000,19108200,45.15,45.25,44.65,44.80,-0.35,307
105/10/06,327000,14670400,44.80,45.20,44.60,44.95,+0.15,211
105/10/07,466085,21028462,44.85,45.55,44.80,44.80,-0.15,314
105/10/11,1181661,50255978,44.65,44.65,41.50,42.05,-2.75,663
105/10/12,215000,9093000,42.00,42.55,42.00,42.40,+0.35,153
105/10/13,254000,10686650,42.25,42.50,41.90,42.00,-0.40,150
105/10/14,372007,15399889,41.70,42.00,41.15,41.20,-0.80,249
105/10/17,147000,6075850,41.25,41.60,41.15,41.50,+0.30,101
105/10/18,241000,9913700,41.50,41.55,40.90,41.15,-0.35,159
105/10/19,253000,10408650,41.20,41.30,40.95,41.30,+0.15,160
105/10/20,156000,6523650,41.30,42.20,41.30,41.85,+0.55,113
105/10/21,115014,4829691,42.30,42.45,41.75,41.85,0.00,92
105/10/24,109000,4591050,42.30,42.30,42.00,42.10,+0.25,91
105/10/25,157050,6556740,42.10,42.10,41.50,41.60,-0.50,100
105/10/26,82000,3423100,41.60,41.95,41.50,41.90,+0.30,65
105/10/27,1721501,75627142,42.40,44.60,42.30,43.50,+1.60,1230
105/10/28,515010,21992225,43.55,43.55,42.10,42.10,-1.40,346
105/10/31,205000,8625650,42.10,42.50,41.75,42.40,+0.30,133
105/11/01,113000,4756350,42.40,42.40,41.90,42.20,-0.20,88
105/11/02,324000,13502750,41.80,42.00,41.50,41.50,-0.70,199
105/11/03,273000,11170550,41.50,41.90,40.05,40.80,-0.70,179
105/11/04,97000,3987900,40.80,41.40,40.80,41.15,+0.35,76
105/11/07,1052100,41454410,39.70,40.40,38.80,40.10,-1.05,629
105/11/08,339000,13342850,40.10,40.10,38.90,39.45,-0.65,193
105/11/09,581000,22641800,39.50,40.00,38.20,38.25,-1.20,362
105/11/10,246000,9686300,39.30,39.65,39.20,39.50,+1.25,133
105/11/11,151735,5914494,39.50,39.50,38.60,39.00,-0.50,114
105/11/14,141020,5499740,39.20,39.30,38.65,39.30,+0.30,73
105/11/15,163890,6409588,39.30,39.40,39.00,39.10,-0.20,86
105/11/16,199100,7887490,39.10,39.90,39.10,39.55,+0.45,126
105/11/17,83100,3288185,39.80,39.80,39.30,39.50,-0.05,55
105/11/18,213000,8520850,40.25,40.25,39.55,40.10,+0.60,150
105/11/21,158000,6337050,40.00,40.35,39.60,40.15,+0.05,84
