105/11/07,0,0,---,---,---,---,---,0
105/11/08,0,0,---,---,---,---,---,0
105/11/09,0,0,---,---,---,---,---,0
105/11/10,164000,262160,1.53,1.70,1.53,1.70,+0.36,3
105/11/11,164000,260600,1.63,1.63,1.52,1.52,-0.18,3
105/11/14,68000,113080,1.66,1.67,1.66,1.67,+0.15,2
105/11/15,134000,235060,1.78,1.78,1.72,1.75,+0.08,6
105/11/16,67000,117420,1.76,1.76,1.72,1.72,-0.03,3
105/11/17,71000,122960,1.72,1.78,1.70,1.76,+0.04,6
105/11/18,293000,537560,1.78,1.96,1.76,1.91,+0.15,18
105/11/21,524000,1059150,1.97,2.10,1.88,1.88,-0.03,24
105/11/22,237000,453250,1.89,1.92,1.87,1.87,-0.01,8
105/11/23,194000,382170,1.92,2.00,1.92,1.95,+0.08,12
105/11/24,123000,238780,1.95,1.95,1.90,1.90,-0.05,6
105/11/25,114000,221930,1.96,1.96,1.90,1.90,0.00,7
105/11/28,292000,569780,1.96,2.01,1.89,1.89,-0.01,13
105/11/29,449000,868550,1.89,1.99,1.89,1.99,+0.10,20
105/11/30,841000,1778990,2.05,2.17,2.05,2.16,+0.17,39
105/12/01,1129000,2499630,2.20,2.28,2.12,2.14,-0.02,58
105/12/02,448000,925970,2.07,2.10,2.04,2.05,-0.09,33
105/12/05,10000,20200,2.04,2.04,2.00,2.00,-0.05,2
105/12/06,86000,168050,2.04,2.04,1.92,1.93,-0.07,11
105/12/07,87000,170170,1.94,2.00,1.92,2.00,+0.07,7
105/12/08,570000,1182470,2.06,2.16,2.02,2.12,+0.12,16
105/12/09,497000,1003450,2.03,2.06,1.91,1.94,-0.18,21
105/12/12,87000,168020,1.93,1.95,1.92,1.94,0.00,6
105/12/13,50000,96500,1.93,1.93,1.93,1.93,-0.01,1
105/12/14,103000,201460,1.96,1.97,1.93,1.93,0.00,8
105/12/15,61000,113220,1.87,1.87,1.81,1.83,-0.10,8
105/12/16,74000,135640,1.82,1.84,1.80,1.81,-0.02,6
105/12/19,206000,366320,1.82,1.82,1.75,1.78,-0.03,12
105/12/20,223000,392160,1.77,1.79,1.74,1.79,+0.01,10
