105/11/25,0,0,--,--,--,--,,0
105/11/28,301000,1114110,3.59,3.90,3.59,3.85,X,10
105/11/29,165000,548120,3.32,3.37,3.29,3.37,-0.48,7
105/11/30,168000,573870,3.52,3.52,3.40,3.43,0.06,5
105/12/01,331000,1217100,3.59,3.77,3.55,3.55,0.12,12
105/12/02,102000,339620,3.35,3.35,3.30,3.32,-0.23,10
105/12/05,392000,1290090,3.40,3.40,3.24,3.31,-0.01,18
105/12/06,647000,2305570,3.64,3.75,3.23,3.23,-0.08,21
105/12/07,127000,415850,3.41,3.41,3.18,3.18,-0.05,7
105/12/08,250000,805950,3.30,3.30,3.11,3.11,-0.07,5
105/12/09,215000,715140,3.27,3.43,3.27,3.35,0.24,9
105/12/12,430000,1655280,3.51,4.11,3.51,3.90,0.55,19
105/12/13,409000,1534390,3.83,3.83,3.69,3.75,-0.15,17
105/12/14,233000,928000,3.99,4.11,3.94,3.95,0.20,16
105/12/15,226000,899250,4.00,4.04,3.91,4.03,0.08,17
105/12/16,145000,626130,4.15,4.49,4.15,4.23,0.20,22
105/12/19,215000,891980,4.31,4.31,4.04,4.08,-0.15,23
105/12/20,230000,923100,4.15,4.16,3.81,3.95,-0.13,12
105/12/21,86000,350920,4.16,4.17,3.97,3.97,0.02,3
105/12/22,592000,2551340,4.25,4.38,4.15,4.18,0.21,23
105/12/23,583000,2735110,4.56,4.84,4.56,4.58,0.40,27
105/12/26,548000,2378600,4.58,4.58,4.22,4.25,-0.33,20
105/12/27,383000,1544570,4.16,4.16,3.98,3.99,-0.26,16
105/12/28,593000,2383340,4.06,4.13,3.93,4.06,0.07,15
105/12/29,663000,2687770,4.05,4.14,3.99,4.00,-0.06,16
105/12/30,220000,886720,4.05,4.05,4.01,4.02,0.02,8
106/01/03,409000,1506540,3.91,3.91,3.62,3.67,-0.35,15
106/01/04,465000,1759730,3.79,3.86,3.69,3.69,0.02,21
106/01/05,371000,1483900,4.02,4.12,3.90,4.01,0.32,19
106/01/06,264000,1091240,4.09,4.32,4.08,4.08,0.07,15
106/01/09,17000,68710,4.07,4.07,4.01,4.01,-0.07,6
106/01/10,83000,315140,4.04,4.06,3.74,3.74,-0.27,10
106/01/11,255000,938950,3.79,3.79,3.68,3.68,-0.06,3
106/01/12,60000,213850,3.58,3.59,3.44,3.44,-0.24,4
106/01/13,33000,106730,3.37,3.37,3.21,3.21,-0.23,3
106/01/16,167000,520460,3.28,3.28,3.03,3.14,-0.07,9
106/01/17,259000,899790,3.31,3.59,3.29,3.56,0.42,17
106/01/18,293000,1021440,3.34,3.62,3.28,3.59,0.03,24
106/01/19,140000,520810,3.79,3.79,3.67,3.70,0.11,15
106/01/20,95000,339190,3.54,3.62,3.53,3.58,-0.12,11
106/01/23,114000,404220,3.66,3.66,3.45,3.45,-0.13,7
106/01/24,118000,410510,3.41,3.57,3.41,3.57,0.12,9
106/02/02,231000,831770,3.66,3.66,3.57,3.57,,8
106/02/03,233000,754100,3.50,3.50,3.09,3.09,-0.48,9
106/02/06,640000,1942740,2.98,3.11,2.95,2.99,-0.10,23
106/02/07,520000,1545800,3.01,3.01,2.93,2.97,-0.02,10
106/02/08,574000,1593580,3.04,3.04,2.70,2.70,-0.27,18
106/02/09,168000,471830,2.82,2.90,2.71,2.72,0.02,7
106/02/10,98000,268540,2.75,2.80,2.70,2.70,-0.02,6
106/02/13,221000,659710,2.86,3.04,2.86,3.03,0.33,10
106/02/14,313000,926160,3.03,3.03,2.89,2.90,-0.13,18
106/02/15,82000,231960,2.78,2.88,2.75,2.86,-0.04,8
106/02/16,72000,207140,1.02,2.92,1.02,2.87,0.01,6
106/02/17,48000,134630,2.86,2.86,2.77,2.83,-0.04,4
106/02/18,178000,504510,2.84,2.88,2.77,2.79,-0.04,14
106/02/20,218000,567420,2.79,2.79,2.52,2.52,-0.27,8
106/02/21,453000,1172830,2.46,2.71,2.46,2.71,0.19,16
106/02/22,213000,576960,2.70,2.73,2.70,2.70,-0.01,6
106/02/23,100000,247060,2.50,2.50,2.44,2.44,-0.26,2
106/02/24,78000,185250,2.37,2.39,2.32,2.32,-0.12,5
