105/08/30,0,0,---,---,---,---,---,0
105/08/31,0,0,---,---,---,---,---,0
105/09/01,0,0,---,---,---,---,---,0
105/09/02,0,0,---,---,---,---,---,0
105/09/05,10000,10400,1.04,1.04,1.04,1.04,-0.08,1
105/09/06,437000,460900,1.03,1.10,1.03,1.08,+0.04,7
105/09/07,1098000,1293100,1.05,1.29,1.05,1.29,+0.21,23
105/09/08,653000,821800,1.30,1.36,1.21,1.36,+0.07,10
105/09/09,30000,35400,1.18,1.18,1.18,1.18,-0.18,1
105/09/10,30000,32300,1.07,1.09,1.07,1.09,-0.09,2
105/09/12,19000,19950,1.05,1.05,1.05,1.05,-0.04,1
105/09/13,19000,19190,1.01,1.01,1.01,1.01,-0.04,1
105/09/14,81000,77940,0.96,0.97,0.96,0.97,-0.04,3
105/09/19,398000,434650,1.01,1.14,1.01,1.14,+0.17,6
105/09/20,325000,356750,1.08,1.11,1.07,1.11,-0.03,7
105/09/21,728000,867410,1.12,1.21,1.12,1.17,+0.06,14
105/09/22,688000,833910,1.22,1.22,1.18,1.20,+0.03,12
105/09/23,255000,274050,1.19,1.19,1.06,1.09,-0.11,6
105/09/26,21000,23300,1.10,1.11,1.10,1.11,+0.02,2
105/09/29,895000,909150,1.00,1.05,1.00,1.04,-0.07,10
105/09/30,619000,606920,0.98,1.05,0.97,1.05,+0.01,4
105/10/03,439000,492140,1.11,1.19,1.11,1.14,+0.09,12
105/10/04,399000,430120,1.08,1.08,1.04,1.08,-0.06,9
105/10/05,10000,10500,1.05,1.05,1.05,1.05,-0.03,1
105/10/06,18000,19080,1.06,1.06,1.06,1.06,+0.01,1
105/10/07,80000,80800,1.01,1.01,1.01,1.01,-0.05,1
105/10/11,118000,125900,1.07,1.07,1.05,1.07,+0.06,4
105/10/12,10000,10500,1.05,1.05,1.05,1.05,-0.02,1
105/10/13,0,0,---,---,---,---,---,0
105/10/14,20000,22400,1.10,1.14,1.10,1.14,+0.06,2
105/10/17,0,0,---,---,---,---,---,0
105/10/18,114000,149400,1.25,1.39,1.25,1.39,+0.30,3
105/10/19,631000,1066370,1.47,1.94,1.47,1.61,+0.22,24
105/10/20,359000,557420,1.54,1.60,1.51,1.60,-0.01,16
105/10/21,250000,419200,1.60,1.79,1.60,1.68,+0.08,12
105/10/24,244000,423740,1.66,1.88,1.65,1.72,+0.04,18
105/10/25,213000,350680,1.66,1.66,1.61,1.61,-0.11,7
105/10/26,21000,33230,1.63,1.63,1.58,1.58,-0.03,2
105/10/27,270000,405000,1.50,1.50,1.50,1.50,-0.08,2
105/10/28,12000,15580,1.31,1.31,1.29,1.29,-0.21,2
105/10/31,26000,35640,1.38,1.39,1.32,1.32,+0.03,5
105/11/01,16000,21850,1.35,1.40,1.35,1.40,+0.08,3
105/11/02,5000,6550,1.31,1.31,1.31,1.31,-0.09,1
105/11/03,268000,350300,1.34,1.35,1.26,1.30,-0.01,11
105/11/04,226000,235000,1.13,1.14,0.99,0.99,-0.31,6
105/11/07,127000,123230,0.99,1.04,0.92,0.92,-0.07,6
105/11/08,116000,98940,0.82,0.87,0.82,0.86,-0.06,6
105/11/09,246000,181940,0.76,0.76,0.72,0.73,-0.13,5
105/11/10,428000,372500,0.82,0.89,0.82,0.86,+0.13,12
105/11/11,312000,205320,0.68,0.68,0.62,0.68,-0.18,4
105/11/14,150000,99200,0.59,0.68,0.59,0.68,0.00,3
105/11/15,230000,149200,0.64,0.68,0.64,0.68,0.00,4
105/11/16,309000,206080,0.66,0.68,0.66,0.68,0.00,4
105/11/17,160000,88480,0.61,0.61,0.55,0.55,-0.13,2
105/11/18,138000,84440,0.58,0.63,0.58,0.63,+0.08,3
105/11/21,38000,22800,0.60,0.60,0.60,0.60,-0.03,1
105/11/22,223000,167400,0.67,0.78,0.67,0.74,+0.14,5
