105/11/15,0,0,---,---,---,---,---,0
105/11/16,61000,49640,0.84,0.84,0.81,0.81,+0.03,3
105/11/17,60000,45000,0.75,0.75,0.75,0.75,-0.06,2
105/11/18,130000,97500,0.75,0.75,0.75,0.75,0.00,2
105/11/21,80000,57600,0.72,0.72,0.72,0.72,-0.03,1
105/11/22,184000,138840,0.76,0.76,0.74,0.74,+0.02,3
105/11/23,225000,167690,0.75,0.77,0.73,0.75,+0.01,7
105/11/24,310000,226660,0.72,0.75,0.72,0.72,-0.03,9
105/11/25,428000,327140,0.74,0.82,0.73,0.82,+0.10,13
105/11/28,194000,168460,0.88,0.88,0.85,0.87,+0.05,6
105/11/29,52000,42590,0.83,0.84,0.80,0.80,-0.07,4
105/11/30,31000,22660,0.76,0.76,0.73,0.73,-0.07,2
105/12/01,55000,46270,0.85,0.85,0.83,0.83,+0.10,5
105/12/02,2000,1580,0.79,0.79,0.79,0.79,-0.04,1
105/12/05,10000,7700,0.77,0.77,0.77,0.77,-0.02,1
105/12/06,2000,1920,0.96,0.96,0.96,0.96,+0.19,1
105/12/07,27000,23530,0.89,0.89,0.87,0.87,-0.09,2
105/12/08,142000,135330,0.95,0.97,0.95,0.95,+0.08,6
105/12/09,124000,119990,0.99,0.99,0.95,0.95,0.00,5
105/12/12,133000,127150,0.95,0.97,0.91,0.91,-0.04,4
105/12/13,296000,274060,0.92,0.93,0.91,0.93,+0.02,8
105/12/14,3096000,3384110,0.93,1.34,0.93,1.34,+0.41,60
105/12/15,2289000,2804670,1.18,1.30,1.16,1.23,-0.11,79
105/12/16,3583000,4977480,1.24,1.50,1.19,1.43,+0.20,89
105/12/19,2443000,3360290,1.40,1.50,1.22,1.26,-0.17,88
105/12/20,3706000,5124990,1.26,1.57,1.24,1.50,+0.24,89
105/12/21,3267000,4608860,1.42,1.47,1.36,1.39,-0.11,87
105/12/22,415000,556950,1.43,1.43,1.32,1.35,-0.04,6
