105/09/22,0,0,---,---,---,---,---,0
105/09/23,15000,26550,1.77,1.77,1.77,1.77,0.00,1
105/09/26,37000,66520,1.78,1.81,1.78,1.81,+0.04,2
105/09/29,1345000,2637670,1.85,2.04,1.85,1.99,+0.18,31
105/09/30,1066000,2105390,1.98,2.02,1.93,2.02,+0.03,40
105/10/03,431000,851260,2.00,2.01,1.92,1.92,-0.10,10
105/10/04,257000,495910,1.86,1.96,1.85,1.94,+0.02,10
105/10/05,724000,1440080,1.91,2.07,1.91,2.06,+0.12,29
105/10/06,485000,843400,2.06,2.06,1.58,1.60,-0.46,27
105/10/07,84000,137140,1.60,1.65,1.60,1.64,+0.04,8
105/10/11,116000,196180,1.60,1.72,1.60,1.70,+0.06,5
105/10/12,116000,200280,1.71,1.75,1.70,1.70,0.00,6
105/10/13,257000,436300,1.68,1.71,1.65,1.70,0.00,7
105/10/14,155000,282200,1.61,1.88,1.61,1.85,+0.15,13
105/10/17,810000,1518920,1.79,1.93,1.79,1.88,+0.03,21
105/10/18,401000,701320,1.88,1.88,1.68,1.76,-0.12,27
105/10/19,779000,1402220,1.76,1.84,1.76,1.81,+0.05,29
105/10/20,756000,1289450,1.68,1.76,1.67,1.68,-0.13,43
105/10/21,292000,489670,1.67,1.72,1.64,1.64,-0.04,16
105/10/24,306000,469700,1.55,1.58,1.48,1.51,-0.13,16
105/10/25,175000,263900,1.45,1.57,1.44,1.55,+0.04,8
105/10/26,604000,966120,1.59,1.64,1.56,1.61,+0.06,16
105/10/27,417000,640350,1.57,1.57,1.51,1.53,-0.08,15
