105/11/15,0,0,---,---,---,---,---,0
105/11/16,169000,106670,0.65,0.65,0.63,0.63,-0.01,5
105/11/17,158000,86900,0.55,0.55,0.55,0.55,-0.08,1
105/11/18,2000,1080,0.53,0.55,0.53,0.55,0.00,2
105/11/21,2000,1120,0.56,0.56,0.56,0.56,+0.01,1
105/11/22,377000,225970,0.59,0.61,0.59,0.61,+0.05,8
105/11/23,716000,481770,0.65,0.71,0.62,0.65,+0.04,20
105/11/24,221000,141750,0.65,0.65,0.63,0.63,-0.02,4
105/11/25,250000,160000,0.64,0.64,0.64,0.64,+0.01,4
105/11/28,944000,650880,0.65,0.73,0.65,0.70,+0.06,17
105/11/29,474000,326080,0.70,0.70,0.66,0.68,-0.02,10
105/11/30,40000,26800,0.67,0.67,0.67,0.67,-0.01,1
105/12/01,40000,27700,0.70,0.70,0.69,0.69,+0.02,2
105/12/02,10000,6600,0.66,0.66,0.66,0.66,-0.03,1
105/12/05,0,0,---,---,---,---,---,0
105/12/06,0,0,---,---,---,---,---,0
105/12/07,963000,637230,0.63,0.85,0.63,0.85,+0.25,19
105/12/08,1354000,1101670,0.79,1.12,0.78,1.12,+0.27,33
105/12/09,121000,101640,0.84,0.84,0.84,0.84,-0.28,5
105/12/12,806000,570310,0.75,0.75,0.64,0.66,-0.18,19
105/12/13,805000,518250,0.63,0.66,0.63,0.65,-0.01,13
105/12/14,573000,401420,0.68,0.71,0.68,0.68,+0.03,10
105/12/15,470000,316910,0.67,0.69,0.66,0.68,0.00,14
105/12/16,510000,355910,0.69,0.71,0.69,0.69,+0.01,15
105/12/19,485000,307550,0.68,0.68,0.62,0.63,-0.06,11
105/12/20,81000,50220,0.62,0.62,0.62,0.62,-0.01,3
105/12/21,471000,296630,0.63,0.64,0.62,0.62,0.00,9
105/12/22,389000,257110,0.61,0.70,0.60,0.65,+0.03,9
105/12/23,247000,156020,0.64,0.64,0.61,0.61,-0.04,5
105/12/26,1000,600,0.60,0.60,0.60,0.60,-0.01,1
105/12/27,170000,113700,0.66,0.68,0.66,0.67,+0.07,5
105/12/28,480000,351740,0.75,0.75,0.70,0.70,+0.03,14
105/12/29,1063000,772880,0.67,0.79,0.66,0.74,+0.04,32
105/12/30,1022000,810570,0.75,0.95,0.75,0.91,+0.17,40
106/01/03,382000,373770,0.95,1.02,0.94,1.02,+0.11,28
106/01/04,64000,62870,0.99,1.00,0.94,1.00,-0.02,6
106/01/05,181000,191190,1.09,1.09,1.05,1.05,+0.05,7
106/01/06,55000,55850,1.03,1.03,1.01,1.01,-0.04,3
106/01/09,294000,265360,0.99,0.99,0.85,0.85,-0.16,4
106/01/10,18000,14520,0.82,0.82,0.79,0.79,-0.06,5
106/01/11,928000,744080,0.90,0.90,0.79,0.79,0.00,10
