105/08/24,340000,17800,0.05,0.06,0.05,0.05,0.00,13
105/08/25,10000,400,0.04,0.04,0.04,0.04,-0.01,1
105/08/26,0,0,---,---,---,---,---,0
105/08/29,50000,2000,0.04,0.04,0.04,0.04,0.00,1
105/08/30,0,0,---,---,---,---,---,0
105/08/31,0,0,---,---,---,---,---,0
105/09/01,140000,2800,0.02,0.02,0.02,0.02,-0.01,2
105/09/02,95000,1900,0.02,0.02,0.02,0.02,0.00,10
105/09/05,68000,680,0.01,0.01,0.01,0.01,-0.01,2
105/09/06,0,0,---,---,---,---,---,0
105/09/07,0,0,---,---,---,---,---,0
105/09/08,620000,6200,0.01,0.01,0.01,0.01,0.00,7
105/09/09,0,0,---,---,---,---,---,0
105/09/10,0,0,---,---,---,---,---,0
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
