105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,254000,245640,0.93,1.01,0.87,0.90,+0.02,14
105/10/13,483000,446150,0.87,1.12,0.85,1.12,+0.22,19
105/10/14,1076000,1357050,1.24,1.30,1.17,1.27,+0.15,34
105/10/17,2189000,2865500,1.23,1.45,1.20,1.45,+0.18,39
105/10/18,1582000,2390890,1.46,1.58,1.40,1.44,-0.01,29
105/10/19,488000,714890,1.45,1.61,1.37,1.55,+0.11,25
105/10/20,167000,268680,1.60,1.63,1.60,1.60,+0.05,8
105/10/21,192000,324060,1.61,1.75,1.61,1.70,+0.10,9
105/10/24,28000,47520,1.70,1.70,1.66,1.66,-0.04,2
105/10/25,5000,7700,1.54,1.54,1.54,1.54,-0.12,1
105/10/26,395000,695310,1.64,1.92,1.62,1.92,+0.38,20
105/10/27,471000,863090,1.83,1.89,1.75,1.83,-0.09,20
