105/08/26,25000,29210,1.20,1.20,1.05,1.11,-0.04,7
105/08/29,118000,122260,1.12,1.12,0.98,1.02,-0.09,11
105/08/30,208000,225850,1.07,1.21,1.01,1.15,+0.13,12
105/08/31,1767000,2087850,1.09,1.27,1.09,1.18,+0.03,46
105/09/01,1575000,1787410,1.18,1.18,1.10,1.10,-0.08,57
105/09/02,553000,532590,1.13,1.13,0.83,1.05,-0.05,40
105/09/05,343000,368740,1.12,1.12,1.04,1.05,0.00,20
105/09/06,1674000,1866090,1.05,1.18,0.99,1.13,+0.08,54
105/09/07,1592000,1837060,1.15,1.21,1.12,1.13,0.00,53
105/09/08,1646000,1777790,1.10,1.13,1.03,1.06,-0.07,38
105/09/09,1794000,1711530,1.00,1.00,0.91,0.93,-0.13,43
105/09/10,860000,707300,0.82,0.88,0.73,0.85,-0.08,33
105/09/12,1636000,1499120,0.88,0.99,0.85,0.96,+0.11,48
105/09/13,2110000,1993860,1.01,1.01,0.91,0.91,-0.05,51
105/09/14,2410000,2022440,0.89,0.93,0.74,0.81,-0.10,62
105/09/19,898000,811800,0.89,0.92,0.88,0.92,+0.11,30
105/09/20,1522000,1433350,0.92,1.02,0.89,1.01,+0.09,46
105/09/21,889000,889590,0.98,1.04,0.97,1.01,0.00,30
105/09/22,1182000,1187010,1.02,1.06,0.94,0.96,-0.05,50
105/09/23,1269000,1189700,0.93,1.01,0.90,1.01,+0.05,55
105/09/26,3346000,3907900,1.04,1.30,1.01,1.23,+0.22,135
105/09/29,1521000,1689470,1.10,1.15,1.06,1.09,-0.14,78
105/09/30,2056000,2452870,1.15,1.28,1.13,1.13,+0.04,70
105/10/03,3647000,4553870,1.14,1.39,1.08,1.34,+0.21,129
105/10/04,2702000,3573720,1.28,1.44,1.24,1.30,-0.04,129
105/10/05,2092000,2920150,1.36,1.50,1.25,1.28,-0.02,103
105/10/06,1260000,1535420,1.28,1.28,1.13,1.24,-0.04,65
105/10/07,2150000,2586040,1.38,1.38,1.11,1.15,-0.09,58
105/10/11,2099000,2114000,1.18,1.18,0.83,0.95,-0.20,63
105/10/12,1319000,1496450,0.98,1.25,0.97,1.11,+0.16,65
105/10/13,538000,593600,1.11,1.18,1.06,1.13,+0.02,47
105/10/14,1115000,1289370,1.08,1.23,1.06,1.19,+0.06,58
105/10/17,3470000,5190080,1.29,1.79,1.29,1.75,+0.56,167
105/10/18,3304000,5810260,1.75,1.92,1.50,1.62,-0.13,162
105/10/19,2546000,4151210,1.56,1.74,1.45,1.65,+0.03,95
105/10/20,841000,1428870,1.63,1.80,1.61,1.66,+0.01,29
105/10/21,1297000,2034200,1.70,1.70,1.49,1.50,-0.16,55
105/10/24,1135000,1757290,1.51,1.62,1.48,1.52,+0.02,29
105/10/25,1520000,2483540,1.55,1.71,1.54,1.65,+0.13,70
105/10/26,2257000,4261120,1.65,2.11,1.61,2.01,+0.36,106
105/10/27,1475000,2818250,2.03,2.03,1.83,1.89,-0.12,70
105/10/28,475000,847880,1.85,1.85,1.74,1.74,-0.15,37
105/10/31,1373000,2112550,1.63,1.63,1.40,1.63,-0.11,44
105/11/01,1781000,2828150,1.54,1.75,1.47,1.48,-0.15,51
105/11/02,1423000,1750510,1.39,1.49,1.09,1.11,-0.37,46
105/11/03,1030000,1127410,1.11,1.22,1.00,1.12,+0.01,37
105/11/04,524000,595310,1.13,1.21,1.06,1.08,-0.04,20
105/11/07,1091000,1200070,1.10,1.18,1.01,1.10,+0.02,40
105/11/08,842000,965530,1.10,1.27,1.07,1.27,+0.17,40
105/11/09,2378000,2520320,1.37,1.37,0.91,0.91,-0.36,60
105/11/10,1430000,1818400,1.21,1.34,1.18,1.28,+0.37,49
105/11/11,2492000,2456160,0.98,1.06,0.90,0.94,-0.34,81
105/11/14,2579000,1874230,0.88,0.90,0.65,0.76,-0.18,84
105/11/15,1336000,1082230,0.71,0.87,0.68,0.82,+0.06,42
105/11/16,2620000,1424830,0.74,0.74,0.43,0.44,-0.38,82
105/11/17,2434000,1159960,0.43,0.52,0.39,0.50,+0.06,55
105/11/18,1219000,682270,0.50,0.62,0.49,0.54,+0.04,40
105/11/21,931000,504230,0.54,0.57,0.52,0.53,-0.01,23
105/11/22,1514000,892800,0.53,0.64,0.53,0.61,+0.08,47
105/11/23,831000,491610,0.61,0.61,0.55,0.56,-0.05,17
105/11/24,333000,174700,0.56,0.56,0.49,0.49,-0.07,13
105/11/25,1248000,687160,0.49,0.59,0.49,0.59,+0.10,24
105/11/28,1113000,641600,0.56,0.61,0.55,0.55,-0.04,25
105/11/29,252000,136300,0.54,0.56,0.52,0.55,0.00,16
105/11/30,485000,245550,0.53,0.53,0.49,0.50,-0.05,15
105/12/01,1045000,518560,0.51,0.52,0.48,0.49,-0.01,17
105/12/02,670000,294300,0.41,0.47,0.40,0.43,-0.06,20
105/12/05,1048000,512100,0.45,0.51,0.45,0.50,+0.07,24
105/12/06,853000,400890,0.47,0.49,0.43,0.44,-0.06,23
105/12/07,491000,211290,0.46,0.46,0.41,0.45,+0.01,16
105/12/08,1854000,1012000,0.47,0.62,0.46,0.59,+0.14,47
105/12/09,588000,326360,0.56,0.59,0.51,0.55,-0.04,27
105/12/12,1056000,667160,0.61,0.69,0.59,0.65,+0.10,38
105/12/13,709000,414130,0.60,0.61,0.57,0.57,-0.08,37
