106/02/20,0,0,--,--,--,--,,0
106/02/21,0,0,--,--,--,--,,0
106/02/22,0,0,--,--,--,--,,0
106/02/23,0,0,--,--,--,--,,0
106/02/24,0,0,--,--,--,--,,0
106/03/01,35000,45630,1.27,1.31,1.26,1.31,X,3
106/03/02,140000,177200,1.26,1.28,1.26,1.28,-0.03,2
106/03/03,265000,358150,1.36,1.36,1.33,1.36,0.08,4
106/03/06,200000,266500,1.34,1.34,1.32,1.32,-0.04,3
106/03/07,70000,88900,1.27,1.27,1.27,1.27,-0.05,1
106/03/08,210000,262500,1.25,1.26,1.24,1.24,-0.03,4
106/03/09,205000,254600,1.24,1.32,1.24,1.32,0.08,2
106/03/10,431000,587150,1.34,1.40,1.34,1.36,0.04,7
