105/08/24,20000,5600,0.28,0.28,0.28,0.28,-0.02,1
105/08/25,0,0,---,---,---,---,---,0
105/08/26,13000,3910,0.29,0.31,0.29,0.31,+0.03,2
105/08/29,85000,30650,0.40,0.40,0.30,0.37,+0.06,4
105/08/30,65000,22750,0.35,0.35,0.35,0.35,-0.02,4
105/08/31,0,0,---,---,---,---,---,0
105/09/01,20000,7000,0.35,0.35,0.35,0.35,0.00,2
105/09/02,20000,6200,0.31,0.31,0.31,0.31,-0.04,1
105/09/05,20000,5200,0.26,0.26,0.26,0.26,-0.05,1
105/09/06,15000,3780,0.25,0.26,0.25,0.26,0.00,2
105/09/07,35000,9150,0.25,0.27,0.25,0.27,+0.01,2
105/09/08,40000,10400,0.26,0.26,0.26,0.26,-0.01,2
105/09/09,0,0,---,---,---,---,---,0
105/09/10,0,0,---,---,---,---,---,0
105/09/12,0,0,---,---,---,---,---,0
105/09/13,0,0,---,---,---,---,---,0
105/09/14,0,0,---,---,---,---,---,0
