105/11/15,0,0,---,---,---,---,---,0
105/11/16,147000,152060,1.04,1.04,1.00,1.00,+0.01,3
105/11/17,280000,274330,0.97,1.02,0.95,1.02,+0.02,8
105/11/18,1477000,1593960,1.04,1.12,1.04,1.12,+0.10,44
105/11/21,1538000,1685040,1.07,1.14,1.05,1.11,-0.01,35
105/11/22,532000,633110,1.16,1.22,1.07,1.07,-0.04,18
105/11/23,209000,219470,1.07,1.07,1.05,1.05,-0.02,2
105/11/24,5000,5220,1.04,1.05,1.03,1.05,0.00,3
105/11/25,78000,82320,1.04,1.06,1.04,1.04,-0.01,6
105/11/28,3736000,4140380,1.04,1.15,1.03,1.12,+0.08,52
105/11/29,3076000,3400650,1.11,1.13,1.05,1.07,-0.05,43
105/11/30,843000,896750,1.09,1.09,1.04,1.06,-0.01,10
105/12/01,63000,58560,1.00,1.00,0.90,0.92,-0.14,13
105/12/02,72000,57620,0.85,0.85,0.77,0.79,-0.13,8
105/12/05,373000,310850,0.83,0.84,0.81,0.81,+0.02,10
105/12/06,361000,302810,0.84,0.86,0.83,0.86,+0.05,6
105/12/07,219000,205800,0.94,0.94,0.93,0.94,+0.08,5
105/12/08,214000,201100,0.94,0.94,0.91,0.91,-0.03,2
105/12/09,6000,5240,0.88,0.88,0.84,0.84,-0.07,2
105/12/12,16000,12700,0.80,0.82,0.76,0.76,-0.08,5
105/12/13,12000,9060,0.77,0.78,0.73,0.78,+0.02,5
105/12/14,483000,367820,0.72,0.77,0.71,0.77,-0.01,12
105/12/15,346000,267800,0.77,0.78,0.77,0.78,+0.01,3
105/12/16,190000,151590,0.78,0.81,0.77,0.77,-0.01,7
105/12/19,123000,93430,0.74,0.76,0.74,0.76,-0.01,5
