105/11/15,0,0,---,---,---,---,---,0
105/11/16,71000,103480,1.44,1.48,1.44,1.48,+0.12,4
105/11/17,70000,102900,1.47,1.47,1.47,1.47,-0.01,3
105/11/18,163000,254100,1.53,1.64,1.53,1.64,+0.17,6
105/11/21,397000,670680,1.65,1.75,1.65,1.69,+0.05,15
105/11/22,463000,781980,1.71,1.73,1.64,1.64,-0.05,10
105/11/23,40000,64010,1.63,1.63,1.56,1.56,-0.08,3
105/11/24,10000,15700,1.57,1.57,1.57,1.57,+0.01,1
105/11/25,460000,735420,1.62,1.68,1.58,1.58,+0.01,9
105/11/28,60000,95000,1.58,1.60,1.58,1.60,+0.02,3
105/11/29,48000,79680,1.66,1.66,1.66,1.66,+0.06,1
105/11/30,468000,741480,1.62,1.62,1.54,1.54,-0.12,5
105/12/01,51000,80580,1.58,1.58,1.58,1.58,+0.04,1
