105/09/05,0,0,---,---,---,---,---,0
105/09/06,0,0,---,---,---,---,---,0
105/09/07,265000,463220,1.72,1.79,1.72,1.75,+0.15,9
105/09/08,233000,352000,1.56,1.56,1.48,1.48,-0.27,4
105/09/09,32000,48000,1.50,1.50,1.50,1.50,+0.02,1
105/09/10,0,0,---,---,---,---,---,0
105/09/12,0,0,---,---,---,---,---,0
105/09/13,274000,433180,1.56,1.62,1.56,1.62,+0.05,5
105/09/14,274000,433710,1.59,1.59,1.57,1.58,-0.04,4
105/09/19,118000,187120,1.58,1.59,1.58,1.59,+0.01,2
105/09/20,452000,759870,1.67,1.70,1.67,1.70,+0.11,9
105/09/21,509000,833510,1.66,1.66,1.61,1.63,-0.07,13
105/09/22,81000,129350,1.59,1.61,1.53,1.53,-0.10,10
105/09/23,74000,113830,1.51,1.54,1.51,1.53,0.00,6
105/09/26,64000,98560,1.54,1.54,1.54,1.54,+0.01,1
105/09/29,104000,157060,1.53,1.53,1.51,1.51,-0.03,3
105/09/30,0,0,---,---,---,---,---,0
105/10/03,5000,7500,1.50,1.50,1.50,1.50,-0.04,1
105/10/04,14000,18520,1.32,1.33,1.32,1.33,-0.17,4
105/10/05,14000,18800,1.35,1.35,1.34,1.34,+0.01,3
105/10/06,9000,11460,1.29,1.29,1.24,1.24,-0.10,4
105/10/07,34000,44100,1.27,1.30,1.27,1.30,+0.06,4
105/10/11,431000,551760,1.21,1.30,1.19,1.30,0.00,8
105/10/12,401000,502500,1.24,1.27,1.23,1.23,-0.07,5
105/10/13,272000,308580,1.14,1.14,1.12,1.12,-0.11,9
105/10/14,22000,25470,1.15,1.16,1.15,1.16,+0.04,2
105/10/17,500000,557500,1.11,1.12,1.11,1.12,-0.04,8
105/10/18,605000,686150,1.12,1.14,1.12,1.14,+0.02,10
105/10/19,510000,576600,1.12,1.16,1.12,1.16,+0.02,10
105/10/20,455000,515300,1.14,1.15,1.12,1.13,-0.03,13
105/10/21,474000,555000,1.14,1.20,1.14,1.18,+0.05,9
105/10/24,530000,633640,1.20,1.23,1.19,1.19,+0.01,13
105/10/25,420000,499500,1.20,1.20,1.17,1.17,-0.02,8
105/10/26,425000,490850,1.17,1.17,1.15,1.15,-0.02,10
105/10/27,625000,716500,1.13,1.16,1.13,1.16,+0.01,13
105/10/28,1119000,1325550,1.17,1.21,1.16,1.19,+0.03,17
105/10/31,353000,426130,1.20,1.21,1.20,1.21,+0.02,5
105/11/01,151000,184230,1.23,1.23,1.22,1.22,+0.01,4
105/11/02,253000,305990,1.19,1.31,1.19,1.31,+0.09,6
105/11/03,142000,189410,1.30,1.41,1.30,1.41,+0.10,8
105/11/04,700000,951500,1.40,1.40,1.33,1.34,-0.07,15
105/11/07,204000,285400,1.36,1.46,1.35,1.43,+0.09,11
105/11/08,1299000,1805920,1.35,1.44,1.35,1.35,-0.08,25
105/11/09,1685000,2351720,1.31,1.59,1.30,1.59,+0.24,28
105/11/10,457000,678200,1.49,1.50,1.45,1.45,-0.14,11
105/11/11,535000,838540,1.50,1.61,1.50,1.53,+0.08,7
105/11/14,547000,804320,1.45,1.51,1.45,1.48,-0.05,11
